MATRIX TYPE,#,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
table,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2,3,3,4,5,7,6,9,7,12,15,11,11,12,30,20,18,18,22,19,23,30,29,29,26,29,37,36,36,39,38,44,45,45,47,49,52,54,56,59,61,68,73,77,78,85,86,93,92,97,103,104,108,112,116,123,127,130,133,140,146,154,156,173,181,185,190,194,200,209,208,219,235,254,238,250,259,267,271,279,288,307,307,332,334,338
table,2,0,0,0,0,1,0,2,2,1,2,2,5,9,3,7,6,15,8,9,20,20,20,29,16,19,22,22,21,31,28,30,26,32,34,38,34,37,37,37,38,46,45,47,46,52,49,63,58,62,62,66,68,73,74,83,103,89,91,81,85,94,98,100,100,105,108,113,116,124,127,132,134,149,146,153,181,174,178,186,204,224,236,308,315,442,286,281,248,254,299,343,314,302,309,302,314,334,332,349
table,3,0,0,0,0,1,0,2,1,2,1,2,5,5,4,8,8,11,12,14,8,13,9,22,13,18,18,23,25,19,24,25,25,31,35,36,36,43,37,38,43,56,67,48,57,53,53,55,57,65,63,64,71,71,71,76,77,88,87,86,93,95,97,113,103,110,111,115,117,122,127,141,135,138,148,170,168,171,188,184,198,201,196,213,215,238,230,241,239,261,255,278,281,290,291,301,325,317,366,343
table,4,0,0,0,0,0,0,1,1,16,2,3,7,5,3,5,9,7,8,8,13,9,23,15,27,9,22,24,20,24,23,24,26,30,32,39,41,56,44,43,39,39,44,46,46,52,58,55,53,59,63,64,66,70,63,65,68,78,77,141,92,93,94,99,104,112,106,110,116,123,123,133,145,144,149,154,157,163,170,179,176,194,203,197,211,227,251,238,249,254,283,290,281,300,306,309,318,325,339,347
table,5,0,0,0,0,0,1,3,3,4,2,3,2,2,8,11,9,6,7,12,11,15,14,17,11,17,23,25,22,30,20,24,38,39,39,40,34,40,46,54,38,42,42,47,45,55,47,62,64,60,63,65,69,69,74,85,87,98,97,107,111,104,105,112,120,118,122,135,134,132,133,148,147,151,159,188,280,298,242,196,192,198,201,208,213,234,248,256,257,254,262,281,272,283,290,299,306,312,329,348
table,6,0,0,0,0,0,0,0,3,1,2,4,4,3,5,5,5,6,13,13,18,14,25,19,33,27,20,19,18,27,26,30,24,24,34,39,34,36,37,34,43,45,48,48,54,53,61,59,59,66,71,67,66,76,71,80,78,90,92,104,97,99,106,108,110,114,116,122,127,137,134,138,143,150,152,159,163,170,174,183,186,193,199,209,227,259,248,243,251,270,265,273,278,285,294,298,313,321,329,345
table,7,0,0,1,0,0,1,1,2,2,2,3,3,3,8,4,8,6,11,7,11,19,19,26,26,18,21,22,30,24,28,29,32,32,35,37,35,40,39,49,45,46,43,51,49,56,54,90,91,62,70,66,83,72,77,76,68,77,80,84,86,90,92,98,105,106,107,115,117,124,128,132,131,142,147,160,164,175,175,182,191,195,216,229,227,223,239,257,238,253,256,268,272,300,289,297,308,319,323,340
table,8,0,0,0,2,1,0,1,1,1,2,4,5,3,3,4,5,6,7,9,9,10,15,15,15,23,23,20,18,29,31,24,30,33,34,33,36,41,31,42,45,48,41,47,49,56,60,56,53,66,65,68,66,63,67,66,68,76,80,82,90,89,94,98,99,106,109,113,119,119,125,141,138,151,155,170,166,180,176,187,195,207,214,222,226,230,237,302,247,257,268,265,274,284,291,306,309,320,332,372
table,9,0,0,0,0,0,0,1,1,2,1,3,3,4,9,4,13,8,11,13,18,19,23,18,13,14,17,29,28,30,22,27,27,31,26,32,40,42,38,40,38,42,45,43,48,50,49,56,57,61,62,68,67,69,74,80,81,89,90,96,97,100,103,107,107,113,117,120,125,130,133,139,145,148,153,160,164,180,187,201,194,201,209,235,220,222,230,236,248,250,255,272,279,286,291,305,309,327,344,358
table,10,0,0,0,0,0,0,0,1,5,2,4,2,4,7,3,5,7,6,10,10,12,12,17,16,18,21,20,17,22,34,23,29,29,33,31,34,38,33,41,40,47,41,51,48,50,54,54,60,65,63,92,108,73,75,65,72,81,78,88,91,90,93,97,100,109,111,112,120,119,124,130,134,142,146,156,158,166,170,184,183,200,197,204,212,234,242,245,246,254,263,269,275,290,290,302,316,342,340,340
vector,1,0,0,0,0,0,0,1,2,1,2,2,11,5,4,5,14,11,21,11,23,11,14,17,20,16,20,18,17,29,32,25,28,32,34,33,31,38,36,41,43,41,49,44,52,52,55,57,63,62,65,62,58,64,64,67,71,77,82,86,87,92,95,101,103,107,117,128,123,126,137,134,144,151,157,165,176,172,182,190,186,194,204,215,230,245,242,252,258,262,270,282,292,301,311,331,339,340,355,366
vector,2,0,0,0,0,0,4,0,6,5,2,2,2,8,6,5,6,5,20,8,8,9,19,23,21,21,11,24,18,27,28,28,27,28,29,31,36,39,35,40,40,42,47,46,49,53,55,58,58,65,63,67,68,72,76,77,81,89,78,87,92,92,101,103,106,112,113,121,126,132,134,146,148,154,158,174,184,182,184,191,198,208,211,231,230,234,244,247,258,264,269,277,299,316,318,325,329,333,342,390
vector,3,0,0,0,0,0,0,1,3,1,6,3,7,3,6,6,6,14,6,9,12,13,18,18,22,18,20,18,21,23,22,28,27,38,32,35,35,41,35,52,61,54,49,55,50,54,54,61,64,61,63,67,68,73,74,77,80,88,91,95,99,113,117,117,129,127,124,144,138,150,145,147,149,157,165,167,173,179,182,192,197,202,209,216,230,240,242,243,261,287,292,288,294,313,309,314,333,363,340,357
vector,4,0,0,0,0,0,0,1,4,1,1,3,2,6,3,5,6,8,7,16,10,18,10,18,12,20,19,21,19,29,25,23,25,29,33,31,34,39,36,42,40,44,41,48,52,51,56,60,65,73,76,78,77,85,102,107,115,116,109,112,105,114,110,115,121,132,125,138,133,143,140,149,216,159,164,167,175,184,191,193,201,207,209,217,256,252,253,253,267,266,276,286,290,305,329,322,322,330,349,355
vector,5,0,0,0,0,0,1,1,1,1,4,8,2,3,4,4,5,16,5,13,12,11,18,18,18,27,19,25,30,20,25,30,31,35,34,41,24,38,42,38,41,46,43,45,52,58,53,57,69,58,62,66,68,71,73,80,79,87,91,93,91,92,94,99,105,106,111,118,121,130,135,137,146,153,156,162,173,183,187,193,208,244,238,224,229,246,240,251,252,271,334,292,317,304,305,315,330,333,356,368
vector,6,0,0,0,0,1,0,1,1,5,1,3,8,3,3,5,9,6,6,14,11,11,13,21,9,19,31,31,22,23,31,26,27,28,33,34,35,36,39,37,41,41,43,51,50,52,54,58,58,59,57,57,66,65,65,69,69,80,82,87,90,94,97,102,104,112,118,121,127,131,134,148,152,156,161,169,182,193,197,197,203,222,226,231,224,237,244,259,253,258,277,304,298,294,306,315,342,345,351,362
vector,7,0,0,0,0,0,0,0,1,1,2,8,3,4,6,9,5,6,13,12,11,15,14,17,13,15,21,28,29,22,21,31,34,37,33,38,34,39,35,42,43,43,44,48,51,52,56,56,60,62,63,68,65,75,67,73,70,78,83,87,88,94,100,124,105,109,115,122,123,132,136,140,151,170,172,180,177,190,186,195,201,207,213,224,234,238,240,250,258,275,296,293,287,297,322,324,333,342,349,357
vector,8,0,0,0,0,0,0,1,1,2,6,3,2,4,4,4,7,6,14,8,13,19,11,18,16,14,18,22,22,26,24,23,25,29,38,36,38,42,37,43,40,45,44,48,52,52,59,58,59,61,64,68,71,74,75,80,84,87,84,89,88,97,99,104,109,118,125,129,132,133,135,140,148,158,162,173,174,180,189,194,199,206,215,226,238,237,243,252,291,270,279,289,301,308,318,313,320,339,340,362
vector,9,0,9,0,0,0,0,1,2,1,7,2,2,4,3,9,11,14,12,16,10,12,12,15,12,23,19,20,23,21,25,25,25,29,32,32,34,36,44,37,46,44,46,45,53,52,58,54,57,63,62,65,67,72,78,82,90,97,99,104,108,108,109,117,117,135,134,134,136,140,142,145,157,156,162,168,173,183,184,193,204,211,222,231,225,303,339,265,306,277,287,285,286,298,311,310,322,335,347,354
vector,10,0,0,0,0,0,0,0,1,2,2,2,2,6,3,5,7,10,5,7,17,20,10,29,16,23,18,20,17,22,22,32,30,33,33,34,39,37,39,45,42,45,48,50,57,59,56,62,64,63,66,70,72,82,76,79,80,87,81,86,89,93,96,102,105,111,121,121,124,125,134,140,144,147,153,169,173,181,184,195,199,215,247,252,236,237,242,259,252,263,273,280,285,294,307,317,322,336,339,352
