N,t
2,0.0
3,0.0
4,0.09090909090909091
5,0.18181818181818182
6,0.2727272727272727
7,0.18181818181818182
8,1.0
9,1.4545454545454546
10,3.090909090909091
11,1.5454545454545454
12,2.6363636363636362
13,3.3636363636363638
14,3.5454545454545454
15,4.7272727272727275
16,4.909090909090909
17,6.454545454545454
18,6.909090909090909
19,8.0
20,9.272727272727273
21,11.272727272727273
22,12.727272727272727
23,15.181818181818182
24,17.272727272727273
25,16.818181818181817
26,15.818181818181818
27,18.0
28,19.636363636363637
29,20.818181818181817
30,23.272727272727273
31,23.09090909090909
32,23.09090909090909
33,25.363636363636363
34,27.272727272727273
35,29.545454545454547
36,32.27272727272727
37,32.09090909090909
38,36.54545454545455
39,33.45454545454545
40,37.0
41,36.90909090909091
42,40.63636363636363
43,41.09090909090909
44,42.45454545454545
45,43.63636363636363
46,47.36363636363637
47,48.18181818181818
48,54.09090909090909
49,54.45454545454545
50,55.90909090909091
51,57.63636363636363
52,61.27272727272727
53,65.45454545454545
54,63.18181818181818
55,64.27272727272727
56,67.63636363636364
57,70.45454545454545
58,76.63636363636364
59,77.27272727272727
60,86.72727272727273
61,84.36363636363636
62,86.0909090909091
63,88.54545454545455
64,93.54545454545455
65,95.54545454545455
66,99.72727272727273
67,101.36363636363636
68,106.0909090909091
69,109.72727272727273
70,113.9090909090909
71,116.45454545454545
72,124.0
73,125.9090909090909
74,132.27272727272728
75,136.45454545454547
76,147.63636363636363
77,159.72727272727272
78,168.1818181818182
79,167.36363636363637
80,169.72727272727272
81,173.54545454545453
82,182.45454545454547
83,188.27272727272728
84,203.0909090909091
85,206.72727272727272
86,229.8181818181818
87,222.36363636363637
88,232.0909090909091
89,223.72727272727272
90,232.45454545454547
91,242.27272727272728
92,255.0909090909091
93,254.27272727272728
94,263.54545454545456
95,267.1818181818182
96,275.09090909090907
97,284.09090909090907
98,295.3636363636364
99,306.1818181818182
100,316.3636363636364
