N,t
2,0.0
3,0.8181818181818182
4,0.0
5,0.0
6,0.09090909090909091
7,0.45454545454545453
8,0.6363636363636364
9,2.0
10,1.8181818181818181
11,3.0
12,3.272727272727273
13,3.727272727272727
14,4.181818181818182
15,3.8181818181818183
16,5.181818181818182
17,6.909090909090909
18,8.727272727272727
19,9.909090909090908
20,10.363636363636363
21,11.545454545454545
22,12.636363636363637
23,12.636363636363637
24,17.636363636363637
25,14.454545454545455
26,17.818181818181817
27,17.818181818181817
28,20.636363636363637
29,19.818181818181817
30,22.0
31,23.181818181818183
32,24.636363636363637
33,25.363636363636363
34,28.90909090909091
35,30.09090909090909
36,31.363636363636363
37,30.90909090909091
38,35.0
39,34.36363636363637
40,37.90909090909091
41,39.72727272727273
42,40.45454545454545
43,41.27272727272727
44,43.63636363636363
45,47.09090909090909
46,48.63636363636363
47,50.54545454545455
48,52.81818181818182
49,56.09090909090909
50,57.0
51,58.27272727272727
52,60.72727272727273
53,61.81818181818182
54,66.63636363636364
55,68.18181818181819
56,71.9090909090909
57,74.45454545454545
58,80.54545454545455
59,80.0
60,84.18181818181819
61,85.18181818181819
62,89.9090909090909
63,92.54545454545455
64,98.54545454545455
65,100.36363636363636
66,106.27272727272727
67,109.36363636363636
68,116.0
69,116.63636363636364
70,122.0
71,124.72727272727273
72,129.63636363636363
73,141.36363636363637
74,141.9090909090909
75,146.36363636363637
76,154.0
77,160.0
78,166.0909090909091
79,169.63636363636363
80,175.72727272727272
81,181.45454545454547
82,192.36363636363637
83,199.45454545454547
84,206.0909090909091
85,212.0
86,224.45454545454547
87,229.9090909090909
88,230.0909090909091
89,241.45454545454547
90,244.8181818181818
91,259.3636363636364
92,261.45454545454544
93,268.09090909090907
94,275.45454545454544
95,285.09090909090907
96,289.6363636363636
97,299.27272727272725
98,308.72727272727275
99,315.27272727272725
100,329.3636363636364
