N,t
2,38.1764705882353
3,19.41176470588236
4,21.41176470588235
5,24.058823529411764
6,32.76470588235294
7,56.588235294117645
8,66.29411764705883
9,66.05882352941177
10,75.76470588235294
11,85.3529411764706
12,61.1764705882353
13,55.411764705882355
14,68.3529411764706
15,65.47058823529413
16,67.11764705882354
17,68.35294117647057
18,73.94117647058823
19,75.76470588235294
20,79.88235294117646
21,82.0
22,86.6470588235294
23,88.3529411764706
24,95.41176470588235
25,97.0
26,101.94117647058823
27,104.52941176470588
28,110.88235294117646
29,112.29411764705883
30,117.94117647058823
31,119.0
32,133.76470588235293
33,136.94117647058823
34,142.11764705882354
35,146.41176470588235
36,153.7058823529412
37,150.41176470588235
38,157.35294117647058
39,161.0
40,166.35294117647058
41,168.47058823529412
42,176.23529411764707
43,176.8235294117647
44,179.7058823529412
45,185.47058823529412
46,211.47058823529412
47,211.11764705882354
48,217.64705882352942
49,217.23529411764707
50,223.35294117647058
51,230.0
52,240.41176470588235
53,234.05882352941177
54,246.47058823529412
55,246.64705882352942
56,253.88235294117646
57,250.58823529411765
58,257.2352941176471
59,258.5882352941176
60,265.70588235294116
61,264.52941176470586
62,272.29411764705884
63,278.8235294117647
64,311.05882352941177
65,312.52941176470586
66,315.29411764705884
67,317.3529411764706
68,327.05882352941177
69,327.6470588235294
70,326.2352941176471
71,329.94117647058823
72,334.76470588235287
73,335.94117647058823
74,349.29411764705884
75,336.4117647058824
76,343.8235294117647
77,343.3529411764706
78,350.05882352941177
79,351.47058823529414
80,357.2352941176471
81,360.0
82,369.88235294117646
83,366.1764705882353
84,365.29411764705884
85,365.88235294117646
86,380.8235294117647
87,376.0
88,378.70588235294116
89,379.6470588235294
90,396.29411764705884
91,397.3529411764706
92,401.52941176470586
93,395.7647058823529
94,399.0
95,400.1764705882353
96,413.88235294117646
97,423.3529411764706
98,418.88235294117646
99,422.8235294117647
100,425.8235294117647
