N,Строки и столбцы,Только строки
2,0.0,0.0
3,0.0,0.0
4,0.004341164453524005,0.003825382538253825
5,0.007966260543580132,0.007359307359307359
6,0.011476147614761475,0.00878099173553719
7,0.007727272727272727,0.005809979494190021
8,0.03695652173913044,0.034
9,0.048675733715103794,0.04945454545454546
10,0.10262784090909091,0.09122474747474747
11,0.05013879250520472,0.04593134138588684
12,0.08238636363636363,0.07420228777844672
13,0.09467188440698375,0.08359914938862308
14,0.09132231404958678,0.0856146694214876
15,0.13217703349282298,0.11680761099365751
16,0.13039772727272728,0.11590909090909092
17,0.1558626033057851,0.13252086078173034
18,0.16223003515821197,0.1083529017108353
19,0.14655172413793105,0.12830188679245283
20,0.15955097534044904,0.17060212514757972
21,0.21776859504132232,0.16131007040097953
22,0.2469904524699045,0.2121212121212121
23,0.25503054257994967,0.26335807050092763
24,0.2659749670619236,0.2878787878787879
25,0.24992053401144307,0.2431199752628324
26,0.2646743020758769,0.2134199134199134
27,0.2865168539325843,0.2361111111111111
28,0.29282296650717704,0.2877742946708464
29,0.2854105571847507,0.25795123244102836
30,0.3319097010372178,0.297024297024297
31,0.31966242226828545,0.2964844822850865
32,0.33723836301155896,0.3028900112233445
33,0.3477272727272727,0.3316783216783217
34,0.35664335664335667,0.320190858864892
35,0.3793600659159572,0.35672778925619836
36,0.3964135575407252,0.3820587490503925
37,0.38746126033057854,0.2933040078201369
38,0.4375160051216389,0.3680525635501939
39,0.39060939060939054,0.3528084818407399
40,0.4320054945054945,0.3911691542288557
41,0.409565630192262,0.3581361560813615
42,0.4497514204545454,0.3787380382775119
43,0.42081051478641845,0.3535149061464851
44,0.4275635501938819,0.3652465955097534
45,0.4468784227820372,0.413961038961039
46,0.4838833041958043,0.4357044470680835
47,0.45203692554685926,0.41620473022912047
48,0.5309153894604242,0.4809338151388361
49,0.4761971567527123,0.45113414850256955
50,0.5120983542319749,0.47145562770562766
51,0.5103219696969696,0.46658008658008654
52,0.5208181818181818,0.47090251520631277
53,0.5422647527910686,0.4829545454545454
54,0.520392882311487,0.4882231404958678
55,0.5086761469443033,0.4507575757575757
56,0.5352971051295073,0.4814984010963911
57,0.5617857752004094,0.5075115562403698
58,0.5921900826446281,0.5321969696969697
59,0.5575706127488809,0.5029235695391897
60,0.6333177132146205,0.5714587737843553
61,0.5792333676017035,0.5219002249569935
62,0.6128749809654332,0.530270092226614
63,0.620987098709871,0.48494611059044046
64,0.6014647228716821,0.5258838383838385
65,0.5980385593787655,0.4982431678750698
66,0.6003412310069534,0.4783757438949313
67,0.5675829440651574,0.5074151408073669
68,0.6101303973428467,0.5425828683951428
69,0.6379492600422834,0.563213658322354
70,0.6198638109649633,0.5668777943368107
71,0.6125393789378938,0.5304735457468577
72,0.6844155844155844,0.598183881952327
73,0.6454929268560149,0.5626852117388396
74,0.6797570627679455,0.5742176618070388
75,0.709830866807611,0.6149860214017161
76,0.7312990040262767,0.6370096908167974
77,0.7986363636363636,0.6774859372164761
78,0.7906777956556718,0.6692628532516174
79,0.7575031464807823,0.6507735174249356
80,0.814154524933306,0.694264590077872
81,0.8149924660974385,0.6977939279263782
82,0.8483936741595386,0.6973307717462395
83,0.7806430155210643,0.6406397845549167
84,0.8935159043854697,0.6905090909090909
85,0.8681728350700683,0.698958559340421
86,0.9846041055718475,0.792798110979929
87,0.9237980982849018,0.7548286378158584
88,0.953030303030303,0.7822255064523108
89,0.8527721157766,0.7095827679782903
90,0.8924406668309107,0.725886714314341
91,0.9596077268491062,0.7701264703882507
92,0.9435477490307776,0.7930770765445234
93,0.963154269972452,0.7680590553724882
94,0.9756691479252455,0.8128216123499142
95,0.9631236024365795,0.8070524003359825
96,1.0122392758756396,0.8423172648676971
97,0.918164535084687,0.7814798470138276
98,1.0426041981274539,0.8568569655600373
99,1.0511088265530915,0.8532935916542475
100,1.0570325900514579,0.8398160240758618
