N,t
2,10.941176470588236
3,7.000000000000001
4,5.9411764705882355
5,6.176470588235294
6,7.764705882352941
7,7.823529411764706
8,7.352941176470588
9,7.352941176470588
10,8.470588235294118
11,8.411764705882353
12,8.882352941176471
13,10.058823529411764
14,10.352941176470589
15,10.117647058823529
16,10.588235294117647
17,12.176470588235293
18,15.941176470588236
19,15.588235294117647
20,13.588235294117647
21,17.470588235294116
22,15.0
23,14.411764705882353
24,15.0
25,17.294117647058822
26,18.529411764705884
27,19.058823529411764
28,17.058823529411764
29,20.176470588235293
30,19.58823529411765
31,19.470588235294116
32,19.058823529411764
33,19.11764705882353
34,21.294117647058822
35,20.705882352941178
36,21.11764705882353
37,27.352941176470587
38,24.823529411764707
39,23.705882352941178
40,23.647058823529413
41,25.764705882352942
42,26.823529411764707
43,29.058823529411764
44,29.058823529411764
45,26.352941176470587
46,27.176470588235293
47,28.941176470588236
48,28.11764705882353
49,30.176470588235293
50,29.647058823529413
51,30.88235294117647
52,32.52941176470588
53,33.88235294117647
54,32.35294117647059
55,35.64705882352941
56,35.11764705882353
57,34.705882352941174
58,36.0
59,38.411764705882355
60,37.94117647058823
61,40.411764705882355
62,40.588235294117645
63,45.64705882352941
64,44.470588235294116
65,47.94117647058823
66,52.11764705882353
67,49.94117647058823
68,48.88235294117647
69,48.705882352941174
70,50.23529411764706
71,54.88235294117647
72,51.8235294117647
73,55.94117647058823
74,57.588235294117645
75,55.470588235294116
76,57.94117647058823
77,58.94117647058823
78,62.8235294117647
79,64.29411764705883
80,61.11764705882353
81,62.1764705882353
82,65.41176470588235
83,73.47058823529412
84,73.52941176470588
85,73.94117647058823
86,72.47058823529413
87,73.6470588235294
88,74.17647058823528
89,78.82352941176471
90,80.05882352941177
91,78.64705882352939
92,80.41176470588236
93,82.76470588235294
94,81.05882352941177
95,82.76470588235294
96,81.6470588235294
97,90.88235294117646
98,86.17647058823529
99,89.70588235294117
100,94.17647058823529
