N,t
2,18.470588235294116
3,13.882352941176471
4,18.705882352941178
5,20.529411764705884
6,25.647058823529413
7,27.647058823529413
8,38.588235294117645
9,41.588235294117645
10,45.35294117647059
11,45.411764705882355
12,46.35294117647059
13,52.411764705882355
14,56.88235294117647
15,53.8235294117647
16,62.0
17,59.64705882352941
18,65.41176470588235
19,65.52941176470587
20,69.52941176470588
21,70.70588235294117
22,75.52941176470588
23,76.23529411764706
24,83.17647058823529
25,84.11764705882354
26,89.23529411764706
27,92.47058823529412
28,99.58823529411765
29,98.17647058823529
30,103.94117647058823
31,106.94117647058823
32,119.88235294117646
33,120.11764705882354
34,124.94117647058823
35,124.29411764705883
36,131.1764705882353
37,131.94117647058823
38,138.23529411764707
39,139.2941176470588
40,145.05882352941177
41,147.52941176470588
42,153.0
43,151.94117647058823
44,158.47058823529412
45,165.05882352941177
46,187.0
47,191.11764705882354
48,192.05882352941177
49,189.76470588235293
50,192.1764705882353
51,195.7058823529412
52,200.88235294117646
53,198.47058823529412
54,205.2941176470588
55,208.2941176470588
56,216.76470588235293
57,222.52941176470588
58,225.52941176470588
59,221.94117647058823
60,230.58823529411765
61,229.41176470588235
62,235.47058823529412
63,239.58823529411765
64,268.47058823529414
65,273.5882352941176
66,277.8235294117647
67,282.4117647058824
68,283.6470588235294
69,283.29411764705884
70,287.5882352941176
71,288.3529411764706
72,297.0
73,297.2352941176471
74,300.11764705882354
75,299.94117647058823
76,305.88235294117646
77,310.70588235294116
78,314.47058823529414
79,314.2941176470588
80,320.29411764705884
81,328.0
82,328.7647058823529
83,326.05882352941177
84,332.94117647058823
85,338.7647058823529
86,341.5882352941176
87,342.05882352941177
88,350.0
89,349.3529411764706
90,362.8235294117647
91,361.88235294117646
92,364.05882352941177
93,361.3529411764706
94,372.3529411764706
95,369.47058823529414
96,381.2352941176471
97,382.5882352941176
98,386.29411764705884
99,396.88235294117646
100,404.52941176470586
