N,S
2,0.0
3,0.0
4,0.01736465781409602
5,0.031865042174320526
6,0.0459045904590459
7,0.030909090909090907
8,0.14782608695652175
9,0.19470293486041518
10,0.41051136363636365
11,0.20055517002081888
12,0.32954545454545453
13,0.378687537627935
14,0.3652892561983471
15,0.5287081339712919
16,0.5215909090909091
17,0.6234504132231404
18,0.6489201406328479
19,0.5862068965517242
20,0.6382039013617962
21,0.8710743801652893
22,0.987961809879618
23,1.0201221703197987
24,1.0638998682476943
25,0.9996821360457723
26,1.0586972083035076
27,1.1460674157303372
28,1.1712918660287082
29,1.141642228739003
30,1.3276388041488711
31,1.2786496890731418
32,1.3489534520462358
33,1.3909090909090909
34,1.4265734265734267
35,1.517440263663829
36,1.5856542301629009
37,1.5498450413223142
38,1.7500640204865556
39,1.5624375624375622
40,1.728021978021978
41,1.638262520769048
42,1.7990056818181817
43,1.6832420591456738
44,1.7102542007755277
45,1.7875136911281488
46,1.935533216783217
47,1.808147702187437
48,2.1236615578416966
49,1.9047886270108492
50,2.0483934169278997
51,2.0412878787878785
52,2.0832727272727274
53,2.1690590111642742
54,2.081571529245948
55,2.034704587777213
56,2.1411884205180294
57,2.2471431008016376
58,2.3687603305785125
59,2.2302824509955235
60,2.533270852858482
61,2.316933470406814
62,2.451499923861733
63,2.483948394839484
64,2.4058588914867283
65,2.392154237515062
66,2.4013649240278134
67,2.2703317762606297
68,2.4405215893713867
69,2.5517970401691334
70,2.4794552438598534
71,2.450157515751575
72,2.7376623376623375
73,2.5819717074240596
74,2.719028251071782
75,2.839323467230444
76,2.9251960161051067
77,3.1945454545454544
78,3.162711182622687
79,3.0300125859231293
80,3.256618099733224
81,3.259969864389754
82,3.3935746966381544
83,3.122572062084257
84,3.5740636175418787
85,3.472691340280273
86,3.93841642228739
87,3.695192393139607
88,3.812121212121212
89,3.4110884631064
90,3.569762667323643
91,3.838430907396425
92,3.7741909961231106
93,3.852617079889808
94,3.902676591700982
95,3.852494409746318
96,4.048957103502558
97,3.672658140338748
98,4.1704167925098155
99,4.204435306212366
100,4.2281303602058316
