N,S
2,0.0
3,0.0
4,0.004245754245754246
5,0.007557234941098022
6,0.00832381263260976
7,0.003213003213003213
8,0.015084294587400177
9,0.022018942766939206
10,0.04079616036137775
11,0.018106634922623894
12,0.04309440559440559
13,0.060702567071993827
14,0.05186981693005789
15,0.07220452503471371
16,0.07314158234403632
17,0.09442966671882337
18,0.0934403702900123
19,0.10559006211180125
20,0.11607979649216764
21,0.13747228381374724
22,0.14688637906560514
23,0.1718314973974095
24,0.1810335164219258
25,0.1733833177132146
26,0.155169700466873
27,0.17220033764772089
28,0.1770918736435978
29,0.18538978046573645
30,0.19732486964407164
31,0.19404125286478227
32,0.17262333093467658
33,0.18521555763823805
34,0.1919024683925346
35,0.2017969976989664
36,0.20996416518804578
37,0.21335371706900846
38,0.2322514868309261
39,0.20779220779220778
40,0.22241867043847244
41,0.2190832910106653
42,0.2305801674960553
43,0.23238371741365757
44,0.23624460645737239
45,0.23527376524522098
46,0.2239726893412568
47,0.22822259935661995
48,0.24852579852579854
49,0.2506708022548802
50,0.25031723609548207
51,0.25059288537549407
52,0.25486576061569943
53,0.27964998057986246
54,0.25634627901931006
55,0.26058582485961446
56,0.26640829050467607
57,0.2811566367904396
58,0.29792320645282
59,0.29882537844321283
60,0.32640328456135415
61,0.3189196838296238
62,0.31616881714094935
63,0.31756808592251634
64,0.30073236143584103
65,0.3057166812107524
66,0.3162991858887381
67,0.31940348807818686
68,0.32437867887508176
69,0.3348947282519994
70,0.3491623774710684
71,0.3529554773983371
72,0.37040941837989816
73,0.37479505260979606
74,0.37868581401757556
75,0.40561763817577773
76,0.42939575394665214
77,0.46519849860607093
78,0.4804387345136799
79,0.4761810574362876
80,0.4751133931110878
81,0.48207070707070704
82,0.49327723802914647
83,0.5141584519897773
84,0.5559654516176256
85,0.5650102309266296
86,0.6034768444406998
87,0.5913926499032882
88,0.6128526645768025
89,0.5893033214074429
90,0.5865707692930493
91,0.609716708162304
92,0.6352981914071865
93,0.6424845962598639
94,0.6605149236728185
95,0.667659989576791
96,0.6646596723344875
97,0.6710498061060794
98,0.7051231313273162
99,0.7241361865735823
100,0.7429454093357948
