N,S
2,0.0
3,0.0
4,0.0153015301530153
5,0.029437229437229435
6,0.03512396694214876
7,0.023239917976760085
8,0.136
9,0.19781818181818184
10,0.3648989898989899
11,0.18372536554354735
12,0.29680915111378686
13,0.3343965975544923
14,0.3424586776859504
15,0.46723044397463004
16,0.4636363636363637
17,0.5300834431269213
18,0.4334116068433412
19,0.5132075471698113
20,0.6824085005903189
21,0.6452402816039181
22,0.8484848484848484
23,1.0534322820037105
24,1.1515151515151516
25,0.9724799010513296
26,0.8536796536796536
27,0.9444444444444444
28,1.1510971786833857
29,1.0318049297641134
30,1.188097188097188
31,1.185937929140346
32,1.211560044893378
33,1.3267132867132867
34,1.280763435459568
35,1.4269111570247934
36,1.52823499620157
37,1.1732160312805475
38,1.4722102542007756
39,1.4112339273629595
40,1.5646766169154227
41,1.432544624325446
42,1.5149521531100476
43,1.4140596245859405
44,1.4609863820390137
45,1.655844155844156
46,1.742817788272334
47,1.6648189209164819
48,1.9237352605553444
49,1.8045365940102782
50,1.8858225108225106
51,1.8663203463203462
52,1.883610060825251
53,1.9318181818181817
54,1.9528925619834712
55,1.8030303030303028
56,1.9259936043855643
57,2.0300462249614792
58,2.128787878787879
59,2.011694278156759
60,2.285835095137421
61,2.087600899827974
62,2.121080368906456
63,1.9397844423617618
64,2.103535353535354
65,1.9929726715002791
66,1.9135029755797253
67,2.0296605632294678
68,2.170331473580571
69,2.252854633289416
70,2.267511177347243
71,2.1218941829874307
72,2.392735527809308
73,2.2507408469553583
74,2.2968706472281553
75,2.4599440856068644
76,2.5480387632671895
77,2.7099437488659044
78,2.6770514130064695
79,2.6030940696997424
80,2.777058360311488
81,2.7911757117055127
82,2.789323086984958
83,2.5625591382196666
84,2.7620363636363634
85,2.795834237361684
86,3.171192443919716
87,3.0193145512634336
88,3.1289020258092433
89,2.8383310719131614
90,2.903546857257364
91,3.0805058815530026
92,3.1723083061780937
93,3.072236221489953
94,3.251286449399657
95,3.22820960134393
96,3.3692690594707884
97,3.12591938805531
98,3.4274278622401493
99,3.41317436661699
100,3.359264096303447
