N,S
2,0.0
3,0.0
4,0.004859919954259577
5,0.008856473039854129
6,0.010633861551292742
7,0.006576402321083172
8,0.025914634146341466
9,0.034974926064034975
10,0.06815234052588139
11,0.03403203014601978
12,0.05687586525149977
13,0.0641771247831854
14,0.06232960421171383
15,0.08782911077993046
16,0.07917888563049853
17,0.10821230051999282
18,0.10562459123610203
19,0.1220825852782765
20,0.13336409783110292
21,0.15943125094539407
22,0.1685075049561031
23,0.1991442199775533
24,0.20766362350520767
25,0.19993642720915444
26,0.177263738239348
27,0.1946564885496183
28,0.1971755356279869
29,0.2120485865243205
30,0.22390286566857026
31,0.2159215921592159
32,0.19261307877598358
33,0.2111566200694506
34,0.21828454031843864
35,0.23770597599277202
36,0.24602527517325723
37,0.2432213350626191
38,0.2643713733075435
39,0.24017199017199017
40,0.2550689375506894
41,0.2501812382195157
42,0.2655971479500891
43,0.27043958751275826
44,0.2679017344941621
45,0.2643685608760448
46,0.2532814778804084
47,0.2521055429642687
48,0.2816371989419463
49,0.28695823705123147
50,0.29092578679355535
51,0.29450501407219165
52,0.3050179688539864
53,0.3297946866411597
54,0.307762438134931
55,0.3085671741418705
56,0.3120266436412977
57,0.31660779083459495
58,0.33980651586285393
59,0.34816760234199934
60,0.376113172541744
61,0.36773892773892775
62,0.3656121545204733
63,0.36957346606254043
64,0.3484383714445064
65,0.3492308594437169
66,0.358959059149616
67,0.35892143682187416
68,0.3740243580558803
69,0.3873263364542434
70,0.39608397329812756
71,0.4038611327473016
72,0.4175084175084175
73,0.42360074123383046
74,0.4407362531627526
75,0.45493768831678233
76,0.4826573426573426
77,0.5140786892017487
78,0.5348093731932115
79,0.532506423017372
80,0.529910677018115
81,0.5291019955654102
82,0.5549699897525985
83,0.5774195135551802
84,0.6099903629938965
85,0.6102385199450662
86,0.6727930240931791
87,0.6500742593605878
88,0.6631168831168831
89,0.6404047207212723
90,0.6406821129583776
91,0.6694792528667691
92,0.7006859677727346
93,0.7036686250425466
94,0.70778400114893
95,0.7231477327003517
96,0.7215777587633782
97,0.742550039136755
98,0.7646081647908967
99,0.7714674535483784
100,0.782053485267096
