N,E
2,0.0
3,0.042929292929292935
4,0.0
5,0.0
6,0.0036796536796536794
7,0.019513314967860424
8,0.021636363636363638
9,0.07083333333333333
10,0.057239057239057235
11,0.09586466165413535
12,0.0965909090909091
13,0.10631482611348382
14,0.11616161616161616
15,0.1089078706528371
16,0.13428492239467849
17,0.16779220779220777
18,0.1809312638580931
19,0.16913106973347936
20,0.1984029484029484
21,0.23365800865800865
22,0.2486321548821549
23,0.22564935064935066
24,0.2998181818181818
25,0.20207834928229665
26,0.30050505050505044
27,0.28576329331046313
28,0.30881882202304733
29,0.24919311457772994
30,0.29218750000000004
31,0.33284705159705164
32,0.3561379097093384
33,0.3511252591057151
34,0.39004329004329
35,0.40089769165004274
36,0.39436525013448087
37,0.37425537425537425
38,0.41901408450704225
39,0.40344048216976397
40,0.4296363636363636
41,0.4221022727272727
42,0.44426826403570585
43,0.42165646853146854
44,0.4436711613745106
45,0.47538328654718204
46,0.47409299416180145
47,0.4721278721278721
48,0.5010653409090909
49,0.4894997199925331
50,0.5143312101910827
51,0.5085402277394063
52,0.5224512329775488
53,0.4957118353344769
54,0.5467269217269218
55,0.5230554643912045
56,0.5680550861777627
57,0.5503162055335968
58,0.5995064480178315
59,0.5582922824302136
60,0.6053684048607906
61,0.5561024996508868
62,0.6017537580529706
63,0.606037260120465
64,0.615909090909091
65,0.605888429752066
66,0.6078857212773767
67,0.5640721535745807
68,0.63860103626943
69,0.6347049237574206
70,0.653022670025189
71,0.6114081996434938
72,0.6662086402110585
73,0.6638623807132095
74,0.6900613688371126
75,0.7052669552669553
76,0.7
77,0.7203389830508474
78,0.7330076465590484
79,0.7061259015225714
80,0.7636410113403977
81,0.7582908733351212
82,0.7654919986380662
83,0.7326549854639742
84,0.8043033642207196
85,0.818346957311535
86,0.8287852460311191
87,0.8294682821423058
88,0.7982745825602968
89,0.7875531989116027
90,0.8297266927649702
91,0.8625160051216391
92,0.8681107954545454
93,0.8887569139129201
94,0.8970741901776383
95,0.9048815262407495
96,0.9318353864152501
97,0.8814338814338815
98,0.9385485758876317
99,0.9442629252354411
100,0.9515944626413695
