N,plain,Строки и столбцы,Только строки
2,0.0,27.41176470588235,33.35294117647059
3,0.0,19.88235294117647,18.41176470588235
4,0.09090909090909091,21.176470588235293,21.411764705882355
5,0.18181818181818182,23.941176470588236,24.88235294117647
6,0.2727272727272727,29.294117647058822,27.0
7,0.18181818181818182,39.705882352941174,42.470588235294116
8,1.0,49.1764705882353,52.294117647058826
9,1.4545454545454546,53.8235294117647,51.05882352941177
10,3.090909090909091,60.1764705882353,65.41176470588235
11,1.5454545454545454,62.8235294117647,75.05882352941177
12,2.6363636363636362,61.8235294117647,65.52941176470588
13,3.3636363636363638,55.94117647058823,54.64705882352941
14,3.5454545454545454,58.588235294117645,57.294117647058826
15,4.7272727272727275,60.8235294117647,59.88235294117647
16,4.909090909090909,65.70588235294117,65.23529411764706
17,6.454545454545454,66.6470588235294,61.64705882352941
18,6.909090909090909,72.52941176470588,65.76470588235294
19,8.0,73.82352941176471,67.3529411764706
20,9.272727272727273,78.17647058823529,72.23529411764706
21,11.272727272727273,80.0,73.05882352941175
22,12.727272727272727,86.70588235294117,77.70588235294117
23,15.181818181818182,88.0,80.05882352941177
24,17.272727272727273,92.52941176470588,84.6470588235294
25,16.818181818181817,95.52941176470588,86.52941176470588
26,15.818181818181818,100.70588235294117,90.94117647058823
27,18.0,102.0,93.88235294117646
28,19.636363636363637,107.88235294117646,98.23529411764706
29,20.818181818181817,110.6470588235294,98.41176470588235
30,23.272727272727273,115.82352941176471,104.76470588235294
31,23.09090909090909,117.76470588235294,105.05882352941177
32,23.09090909090909,133.76470588235293,121.70588235294117
33,25.363636363636363,135.11764705882354,122.6470588235294
34,27.272727272727273,141.05882352941177,128.35294117647058
35,29.545454545454547,144.23529411764707,128.35294117647058
36,32.27272727272727,146.1764705882353,134.23529411764707
37,32.09090909090909,148.58823529411762,138.05882352941177
38,36.54545454545455,153.0,143.47058823529412
39,33.45454545454545,154.23529411764707,142.88235294117646
40,37.0,161.94117647058823,146.76470588235293
41,36.90909090909091,165.11764705882354,157.05882352941177
42,40.63636363636363,170.58823529411765,155.23529411764707
43,41.09090909090909,173.0,157.35294117647058
44,42.45454545454545,174.88235294117646,162.7058823529412
45,43.63636363636363,176.0,165.76470588235293
46,47.36363636363637,213.1764705882353,188.1764705882353
47,48.18181818181818,209.23529411764707,192.23529411764707
48,54.09090909090909,212.47058823529412,197.2941176470588
49,54.45454545454545,212.23529411764707,196.64705882352942
50,55.90909090909091,216.8235294117647,202.23529411764707
51,57.63636363636363,223.58823529411765,205.05882352941177
52,61.27272727272727,231.58823529411765,213.11764705882354
53,65.45454545454545,229.7058823529412,211.64705882352942
54,63.18181818181818,237.11764705882354,217.76470588235293
55,64.27272727272727,234.0,219.41176470588235
56,67.63636363636364,243.64705882352942,231.88235294117646
57,70.45454545454545,244.8235294117647,235.2941176470588
58,76.63636363636364,247.8235294117647,236.0
59,77.27272727272727,250.41176470588235,235.88235294117646
60,86.72727272727273,256.4117647058824,243.41176470588235
61,84.36363636363636,263.52941176470586,241.58823529411765
62,86.0909090909091,268.6470588235294,249.11764705882354
63,88.54545454545455,273.0588235294118,250.23529411764707
64,93.54545454545455,303.4117647058824,276.5882352941176
65,95.54545454545455,300.88235294117646,285.29411764705884
66,99.72727272727273,310.88235294117646,287.29411764705884
67,101.36363636363636,310.5882352941176,290.47058823529414
68,106.0909090909091,310.1764705882353,292.88235294117646
69,109.72727272727273,321.17647058823525,294.4117647058824
70,113.9090909090909,331.94117647058823,300.1764705882353
71,116.45454545454545,325.52941176470586,304.1764705882353
72,124.0,334.7647058823529,328.70588235294116
73,125.9090909090909,336.2352941176471,341.35294117647055
74,132.27272727272728,337.7058823529412,336.29411764705884
75,136.45454545454547,347.8235294117647,335.11764705882354
76,147.63636363636363,348.6470588235294,335.2352941176471
77,159.72727272727272,339.88235294117646,321.2352941176471
78,168.1818181818182,342.11764705882354,321.94117647058823
79,167.36363636363637,346.2352941176471,327.8235294117647
80,169.72727272727272,355.4117647058824,344.3529411764706
81,173.54545454545453,351.1764705882353,341.7647058823529
82,182.45454545454547,358.52941176470586,345.52941176470586
83,188.27272727272728,367.5882352941176,338.7058823529411
84,203.0909090909091,371.29411764705884,346.94117647058823
85,206.72727272727272,369.0,354.3529411764706
86,229.8181818181818,379.7647058823529,355.5882352941176
87,222.36363636363637,384.52941176470586,358.05882352941177
88,232.0909090909091,391.6470588235294,361.4117647058824
89,223.72727272727272,395.11764705882354,366.0
90,232.45454545454547,398.47058823529414,379.2352941176471
91,242.27272727272728,396.4117647058824,390.47058823529414
92,255.0909090909091,402.4117647058824,389.29411764705884
93,254.27272727272728,405.2352941176471,390.47058823529414
94,263.54545454545456,405.88235294117646,394.05882352941177
95,267.1818181818182,405.7647058823529,399.3529411764706
96,275.09090909090907,413.11764705882354,404.2352941176471
97,284.09090909090907,410.70588235294116,399.4117647058824
98,295.3636363636364,421.0,401.6470588235294
99,306.1818181818182,419.2352941176471,405.05882352941177
100,316.3636363636364,427.88235294117646,411.94117647058823
