N,Строки и столбцы,Только строки
2,0.0,0.0
3,0.0,0.0
4,0.004292929292929293,0.004245754245754245
5,0.007594371230734867,0.007307113690092413
6,0.009309967141292442,0.0101010101010101
7,0.004579124579124579,0.004281037522034752
8,0.02033492822966507,0.019122609673790775
9,0.027024341778440143,0.028487641390867197
10,0.05136408068959388,0.047253106605624595
11,0.02459993190330269,0.020589911655742376
12,0.04264336995069631,0.040231761057613835
13,0.06012809482841029,0.06155201095997651
14,0.06051478641840088,0.06188165017733806
15,0.07772111834007386,0.078942668333631
16,0.07471311141857248,0.07525206984179031
17,0.09684666613174998,0.10470159611380984
18,0.09525916095259161,0.1050577329647097
19,0.10836653386454183,0.11877729257641921
20,0.11861276421095836,0.12836837429671308
21,0.14090909090909093,0.1542965890791978
22,0.14678672751942765,0.163787764090565
23,0.1725206611570248,0.18963329102932336
24,0.1866728313009305,0.2040558468633521
25,0.17605239587998206,0.19436375996539149
26,0.1570730671197961,0.1739386099023874
27,0.17647058823529413,0.1917293233082707
28,0.18201645682561715,0.19989112683723462
29,0.1881494369532647,0.21154159647883497
30,0.20093263770257166,0.22214282068296667
31,0.19607665062210516,0.21979028809935863
32,0.17262333093467658,0.18972714091128784
33,0.18771520164641625,0.20680183126226293
34,0.1933429372962317,0.21248229314223815
35,0.20484205843096542,0.23018915090409134
36,0.22077922077922077,0.24041909011234164
37,0.21597207226660914,0.23244373862183834
38,0.23885918003565063,0.25472436542547244
39,0.2169059011164274,0.23414049927018227
40,0.22847802397384673,0.2521042084168337
41,0.22353207889367488,0.23500170241743273
42,0.2382131661442006,0.26177271004857205
43,0.23751970572779824,0.26113848768054376
44,0.24276060300278263,0.2609281535528824
45,0.24793388429752064,0.2632427898574102
46,0.22218041340557898,0.25169797379863024
47,0.23027576865080376,0.2506398130633136
48,0.2545806906272023,0.2741638206754486
49,0.25657629510179397,0.27691512794713513
50,0.2578552754895674,0.27645565603680783
51,0.25777905335916385,0.28107234131330516
52,0.2645761655159674,0.2875065867061451
53,0.28494936561517864,0.3092627217140836
54,0.2664576802507837,0.29013800893865727
55,0.27466977466977466,0.2929320009748964
56,0.2775997541811158,0.2916839629168397
57,0.2877768555327421,0.2994318181818182
58,0.3092376410676909,0.3247303543913714
59,0.30858265530569967,0.3275901156200408
60,0.3382343740223988,0.3562986071444264
61,0.32012987012987015,0.34920424109613296
62,0.3204610147898959,0.34558334227755716
63,0.32427245309623587,0.3538487840321409
64,0.30831188973879936,0.3382119794284831
65,0.31755087532213633,0.3349015932521087
66,0.3207878214500731,0.34712605167150623
67,0.3263601928374656,0.34896351117493274
68,0.34203403272244537,0.362230458836203
69,0.3416416916416917,0.3727000272454818
70,0.3431604723470752,0.3794737498441202
71,0.35773893616322244,0.3828519189184438
72,0.3704094183798981,0.3772369362920544
73,0.3744672052929576,0.36885310106058
74,0.39168025842821175,0.39332453448248444
75,0.39230970281198596,0.4071840043404025
76,0.4234550669509333,0.4403962417649029
77,0.4699487082664653,0.49722827986882184
78,0.49159059647367764,0.5223992159859143
79,0.4833812127390109,0.5105296641273673
80,0.477551081821191,0.49288753610584835
81,0.4941830363940916,0.5077922077922078
82,0.5088970094712507,0.5280434580741017
83,0.5121837675846318,0.555859041965329
84,0.546981219034451,0.5853756281019761
85,0.5602365114560236,0.5833936979355305
86,0.6051594006984342,0.6463042334010076
87,0.5782747159525499,0.6210254342339113
88,0.5926022010431743,0.6421786221590908
89,0.5662295126341576,0.6112767014406358
90,0.5833668840754758,0.6129559908061537
91,0.6111643216554924,0.6204634473691418
92,0.6339051972731259,0.6552652545399599
93,0.6274693516673485,0.6511955956065627
94,0.6493148880105403,0.6687972424649541
95,0.6584649041883023,0.6690368108839164
96,0.6658899977994381,0.6805217483331568
97,0.6917137574542329,0.7112732628196544
98,0.701576333405312,0.7353810512861481
99,0.730334068905698,0.7558947007102685
100,0.739370610143225,0.7679825529318604
