N,t
2,11.529411764705882
3,4.882352941176471
4,5.117647058823529
5,5.647058823529412
6,5.9411764705882355
7,6.117647058823529
8,7.0588235294117645
9,7.352941176470588
10,7.294117647058823
11,8.058823529411764
12,8.352941176470589
13,9.058823529411764
14,9.235294117647058
15,9.0
16,9.823529411764707
17,10.235294117647058
18,11.352941176470589
19,13.882352941176471
20,13.235294117647058
21,14.058823529411764
22,15.117647058823529
23,15.117647058823529
24,17.41176470588235
25,19.352941176470587
26,16.235294117647058
27,16.352941176470594
28,19.764705882352942
29,21.352941176470587
30,18.11764705882353
31,21.823529411764707
32,18.41176470588235
33,20.529411764705884
34,21.647058823529413
35,21.176470588235293
36,23.235294117647058
37,22.647058823529413
38,23.11764705882353
39,22.764705882352942
40,23.705882352941178
41,24.470588235294116
42,23.529411764705884
43,24.235294117647058
44,24.176470588235293
45,25.529411764705884
46,25.176470588235293
47,26.705882352941178
48,26.176470588235293
49,26.529411764705884
50,28.176470588235293
51,28.058823529411764
52,29.058823529411764
53,31.470588235294116
54,30.88235294117647
55,32.0
56,31.176470588235293
57,33.588235294117645
58,32.8235294117647
59,35.294117647058826
60,33.88235294117647
61,37.411764705882355
62,35.8235294117647
63,36.88235294117647
64,39.588235294117645
65,41.76470588235294
66,41.8235294117647
67,44.35294117647059
68,43.23529411764706
69,45.05882352941177
70,45.05882352941177
71,48.294117647058826
72,47.23529411764706
73,50.05882352941177
74,47.705882352941174
75,49.411764705882355
76,50.588235294117645
77,51.529411764705884
78,52.588235294117645
79,56.23529411764706
80,53.23529411764706
81,54.35294117647059
82,55.411764705882355
83,60.88235294117647
84,56.1764705882353
85,57.588235294117645
86,58.35294117647059
87,60.470588235294116
88,62.1764705882353
89,66.0
90,62.588235294117645
91,62.705882352941174
92,64.6470588235294
93,65.41176470588235
94,67.76470588235294
95,69.11764705882354
96,68.41176470588235
97,75.17647058823529
98,73.05882352941177
99,73.88235294117646
100,77.58823529411765
