N,t
2,27.41176470588235
3,19.88235294117647
4,21.176470588235293
5,23.941176470588236
6,29.294117647058822
7,39.705882352941174
8,49.1764705882353
9,53.8235294117647
10,60.1764705882353
11,62.8235294117647
12,61.8235294117647
13,55.94117647058823
14,58.588235294117645
15,60.8235294117647
16,65.70588235294117
17,66.6470588235294
18,72.52941176470588
19,73.82352941176471
20,78.17647058823529
21,80.0
22,86.70588235294117
23,88.0
24,92.52941176470588
25,95.52941176470588
26,100.70588235294117
27,102.0
28,107.88235294117646
29,110.6470588235294
30,115.82352941176471
31,117.76470588235294
32,133.76470588235293
33,135.11764705882354
34,141.05882352941177
35,144.23529411764707
36,146.1764705882353
37,148.58823529411762
38,153.0
39,154.23529411764707
40,161.94117647058823
41,165.11764705882354
42,170.58823529411765
43,173.0
44,174.88235294117646
45,176.0
46,213.1764705882353
47,209.23529411764707
48,212.47058823529412
49,212.23529411764707
50,216.8235294117647
51,223.58823529411765
52,231.58823529411765
53,229.7058823529412
54,237.11764705882354
55,234.0
56,243.64705882352942
57,244.8235294117647
58,247.8235294117647
59,250.41176470588235
60,256.4117647058824
61,263.52941176470586
62,268.6470588235294
63,273.0588235294118
64,303.4117647058824
65,300.88235294117646
66,310.88235294117646
67,310.5882352941176
68,310.1764705882353
69,321.17647058823525
70,331.94117647058823
71,325.52941176470586
72,334.7647058823529
73,336.2352941176471
74,337.7058823529412
75,347.8235294117647
76,348.6470588235294
77,339.88235294117646
78,342.11764705882354
79,346.2352941176471
80,355.4117647058824
81,351.1764705882353
82,358.52941176470586
83,367.5882352941176
84,371.29411764705884
85,369.0
86,379.7647058823529
87,384.52941176470586
88,391.6470588235294
89,395.11764705882354
90,398.47058823529414
91,396.4117647058824
92,402.4117647058824
93,405.2352941176471
94,405.88235294117646
95,405.7647058823529
96,413.11764705882354
97,410.70588235294116
98,421.0
99,419.2352941176471
100,427.88235294117646
