N,t
2,16.0
3,4.764705882352941
4,5.235294117647059
5,5.705882352941177
6,6.176470588235294
7,5.823529411764706
8,7.352941176470588
9,7.0588235294117645
10,7.9411764705882355
11,7.823529411764706
12,8.470588235294118
13,8.764705882352942
14,9.0
15,8.764705882352942
16,9.647058823529411
17,10.294117647058824
18,12.058823529411764
19,14.647058823529411
20,13.058823529411764
21,12.352941176470589
22,12.705882352941176
23,14.0
24,14.705882352941176
25,17.88235294117647
26,14.823529411764707
27,15.588235294117647
28,16.705882352941178
29,19.88235294117647
30,18.823529411764703
31,17.41176470588235
32,17.29411764705882
33,18.058823529411764
34,18.529411764705884
35,18.764705882352942
36,19.88235294117647
37,20.647058823529413
38,20.88235294117647
39,21.294117647058822
40,22.058823529411764
41,23.529411764705884
42,22.764705882352942
43,24.470588235294116
44,24.58823529411765
45,24.764705882352942
46,25.647058823529413
47,26.764705882352942
48,26.352941176470587
49,28.647058823529413
50,27.705882352941178
51,28.647058823529413
52,29.058823529411764
53,31.176470588235293
54,30.470588235294116
55,32.588235294117645
56,31.647058823529413
57,33.8235294117647
58,33.58823529411765
59,35.8235294117647
60,34.76470588235295
61,38.294117647058826
62,37.35294117647059
63,38.1764705882353
64,40.0
65,41.411764705882355
66,43.705882352941174
67,48.470588235294116
68,45.411764705882355
69,45.94117647058823
70,46.705882352941174
71,51.0
72,48.64705882352941
73,53.23529411764706
74,51.411764705882355
75,51.88235294117647
76,55.0
77,55.529411764705884
78,56.64705882352941
79,60.05882352941177
80,57.529411764705884
81,59.8235294117647
82,62.8235294117647
83,68.05882352941177
84,64.05882352941177
85,64.76470588235294
86,67.70588235294119
87,69.29411764705883
88,72.05882352941177
89,76.6470588235294
90,73.76470588235294
91,75.17647058823529
92,75.29411764705883
93,75.41176470588235
94,76.76470588235294
95,78.76470588235294
96,77.70588235294117
97,84.88235294117646
98,82.23529411764706
99,83.47058823529412
100,86.52941176470588
