N,t
2,33.35294117647059
3,18.41176470588235
4,21.411764705882355
5,24.88235294117647
6,27.0
7,42.470588235294116
8,52.294117647058826
9,51.05882352941177
10,65.41176470588235
11,75.05882352941177
12,65.52941176470588
13,54.64705882352941
14,57.294117647058826
15,59.88235294117647
16,65.23529411764706
17,61.64705882352941
18,65.76470588235294
19,67.3529411764706
20,72.23529411764706
21,73.05882352941175
22,77.70588235294117
23,80.05882352941177
24,84.6470588235294
25,86.52941176470588
26,90.94117647058823
27,93.88235294117646
28,98.23529411764706
29,98.41176470588235
30,104.76470588235294
31,105.05882352941177
32,121.70588235294117
33,122.6470588235294
34,128.35294117647058
35,128.35294117647058
36,134.23529411764707
37,138.05882352941177
38,143.47058823529412
39,142.88235294117646
40,146.76470588235293
41,157.05882352941177
42,155.23529411764707
43,157.35294117647058
44,162.7058823529412
45,165.76470588235293
46,188.1764705882353
47,192.23529411764707
48,197.2941176470588
49,196.64705882352942
50,202.23529411764707
51,205.05882352941177
52,213.11764705882354
53,211.64705882352942
54,217.76470588235293
55,219.41176470588235
56,231.88235294117646
57,235.2941176470588
58,236.0
59,235.88235294117646
60,243.41176470588235
61,241.58823529411765
62,249.11764705882354
63,250.23529411764707
64,276.5882352941176
65,285.29411764705884
66,287.29411764705884
67,290.47058823529414
68,292.88235294117646
69,294.4117647058824
70,300.1764705882353
71,304.1764705882353
72,328.70588235294116
73,341.35294117647055
74,336.29411764705884
75,335.11764705882354
76,335.2352941176471
77,321.2352941176471
78,321.94117647058823
79,327.8235294117647
80,344.3529411764706
81,341.7647058823529
82,345.52941176470586
83,338.7058823529411
84,346.94117647058823
85,354.3529411764706
86,355.5882352941176
87,358.05882352941177
88,361.4117647058824
89,366.0
90,379.2352941176471
91,390.47058823529414
92,389.29411764705884
93,390.47058823529414
94,394.05882352941177
95,399.3529411764706
96,404.2352941176471
97,399.4117647058824
98,401.6470588235294
99,405.05882352941177
100,411.94117647058823
