N,S
2,0.0
3,0.16757940854326397
4,0.0
5,0.0
6,0.0153015301530153
7,0.0743006993006993
8,0.09015151515151515
9,0.272
10,0.24926686217008798
11,0.3722627737226277
12,0.39180537772087065
13,0.4114521841794569
14,0.4528083381586567
15,0.42424242424242425
16,0.527490473598258
17,0.6750261233019854
18,0.7687235044747998
19,0.7137904468412942
20,0.7830303030303031
21,0.8212248003042982
22,0.8358684117438981
23,0.8358684117438981
24,1.012899262899263
25,0.7468914064658746
26,1.0974967061923584
27,1.0896010464355783
28,1.0441017316017316
29,0.9281242173804157
30,1.2142857142857144
31,1.0622396471453075
32,1.338077258205054
33,1.2354779890596508
34,1.3354743083003953
35,1.420959595959596
36,1.3498273878020715
37,1.3648170011806375
38,1.5139949109414759
39,1.5095137420718816
40,1.5991427926911796
41,1.6234702797202798
42,1.7193181818181817
43,1.7030008826125331
44,1.804910418049104
45,1.844574780058651
46,1.9318181818181817
47,1.8926712054465358
48,2.0177732379979574
49,2.1142914734932474
50,2.0229645093945723
51,2.0768057937869258
52,2.0898049319101952
53,1.9643160577740018
54,2.157748917748918
55,2.1306818181818183
56,2.306518010291595
57,2.21668524120363
58,2.453893776474422
59,2.2666666666666666
60,2.4845328282828283
61,2.276872498570612
62,2.5097775787430963
63,2.509206901551399
64,2.4892611103606646
65,2.4030729833546736
66,2.540979414397136
67,2.465758379551483
68,2.6829931972789116
69,2.588535485402326
70,2.7075718015665795
71,2.5826597276049164
72,2.7444809238084455
73,2.8239504326460847
74,2.9746665172065914
75,2.9621212121212124
76,3.044186046511628
77,3.105022831050228
78,3.158328248932276
79,3.016546215290985
80,3.30095429432446
81,3.3384494293585205
82,3.471530592549701
83,3.2760649978041285
84,3.6686339838172297
85,3.6813074565883555
86,3.8464992668621703
87,3.801998585072515
88,3.700610647630515
89,3.6584022038567494
90,3.911568694463431
91,4.136193075217466
92,4.044337827777318
93,4.09851209941138
94,4.064867424242424
95,4.124719535783365
96,4.23372156648167
97,3.980936121781192
98,4.225735617039965
99,4.2672264041690795
100,4.245020332207595
