N,S
2,0.0
3,0.0
4,0.004292929292929293
5,0.007594371230734867
6,0.009309967141292442
7,0.004579124579124579
8,0.02033492822966507
9,0.027024341778440143
10,0.05136408068959388
11,0.02459993190330269
12,0.04264336995069631
13,0.06012809482841029
14,0.06051478641840088
15,0.07772111834007386
16,0.07471311141857248
17,0.09684666613174998
18,0.09525916095259161
19,0.10836653386454183
20,0.11861276421095836
21,0.14090909090909093
22,0.14678672751942765
23,0.1725206611570248
24,0.1866728313009305
25,0.17605239587998206
26,0.1570730671197961
27,0.17647058823529413
28,0.18201645682561715
29,0.1881494369532647
30,0.20093263770257166
31,0.19607665062210516
32,0.17262333093467658
33,0.18771520164641625
34,0.1933429372962317
35,0.20484205843096542
36,0.22077922077922077
37,0.21597207226660914
38,0.23885918003565063
39,0.2169059011164274
40,0.22847802397384673
41,0.22353207889367488
42,0.2382131661442006
43,0.23751970572779824
44,0.24276060300278263
45,0.24793388429752064
46,0.22218041340557898
47,0.23027576865080376
48,0.2545806906272023
49,0.25657629510179397
50,0.2578552754895674
51,0.25777905335916385
52,0.2645761655159674
53,0.28494936561517864
54,0.2664576802507837
55,0.27466977466977466
56,0.2775997541811158
57,0.2877768555327421
58,0.3092376410676909
59,0.30858265530569967
60,0.3382343740223988
61,0.32012987012987015
62,0.3204610147898959
63,0.32427245309623587
64,0.30831188973879936
65,0.31755087532213633
66,0.3207878214500731
67,0.3263601928374656
68,0.34203403272244537
69,0.3416416916416917
70,0.3431604723470752
71,0.35773893616322244
72,0.3704094183798981
73,0.3744672052929576
74,0.39168025842821175
75,0.39230970281198596
76,0.4234550669509333
77,0.4699487082664653
78,0.49159059647367764
79,0.4833812127390109
80,0.477551081821191
81,0.4941830363940916
82,0.5088970094712507
83,0.5121837675846318
84,0.546981219034451
85,0.5602365114560236
86,0.6051594006984342
87,0.5782747159525499
88,0.5926022010431743
89,0.5662295126341576
90,0.5833668840754758
91,0.6111643216554924
92,0.6339051972731259
93,0.6274693516673485
94,0.6493148880105403
95,0.6584649041883023
96,0.6658899977994381
97,0.6917137574542329
98,0.701576333405312
99,0.730334068905698
100,0.739370610143225
