N,S
2,0.0
3,0.17171717171717174
4,0.0
5,0.0
6,0.014718614718614718
7,0.0780532598714417
8,0.08654545454545455
9,0.2833333333333333
10,0.22895622895622894
11,0.3834586466165414
12,0.3863636363636364
13,0.4252593044539353
14,0.46464646464646464
15,0.4356314826113484
16,0.5371396895787139
17,0.6711688311688311
18,0.7237250554323724
19,0.6765242789339174
20,0.7936117936117936
21,0.9346320346320346
22,0.9945286195286196
23,0.9025974025974026
24,1.1992727272727273
25,0.8083133971291866
26,1.2020202020202018
27,1.1430531732418525
28,1.2352752880921893
29,0.9967724583109198
30,1.1687500000000002
31,1.3313882063882065
32,1.4245516388373536
33,1.4045010364228605
34,1.56017316017316
35,1.603590766600171
36,1.5774610005379235
37,1.497021497021497
38,1.676056338028169
39,1.6137619286790559
40,1.7185454545454544
41,1.6884090909090907
42,1.7770730561428234
43,1.6866258741258742
44,1.7746846454980425
45,1.9015331461887282
46,1.8963719766472058
47,1.8885114885114884
48,2.0042613636363638
49,1.9579988799701324
50,2.057324840764331
51,2.0341609109576253
52,2.0898049319101952
53,1.9828473413379075
54,2.1869076869076873
55,2.092221857564818
56,2.2722203447110507
57,2.2012648221343873
58,2.398025792071326
59,2.2331691297208542
60,2.4214736194431623
61,2.224409998603547
62,2.4070150322118824
63,2.42414904048186
64,2.463636363636364
65,2.423553719008264
66,2.431542885109507
67,2.256288614298323
68,2.55440414507772
69,2.5388196950296824
70,2.612090680100756
71,2.445632798573975
72,2.664834560844234
73,2.655449522852838
74,2.76024547534845
75,2.821067821067821
76,2.8
77,2.8813559322033897
78,2.9320305862361935
79,2.8245036060902855
80,3.054564045361591
81,3.033163493340485
82,3.0619679945522646
83,2.930619941855897
84,3.2172134568828783
85,3.27338782924614
86,3.3151409841244766
87,3.3178731285692233
88,3.1930983302411873
89,3.1502127956464108
90,3.318906771059881
91,3.4500640204865562
92,3.4724431818181816
93,3.5550276556516804
94,3.5882967607105534
95,3.619526104962998
96,3.7273415456610004
97,3.525735525735526
98,3.754194303550527
99,3.7770517009417643
100,3.806377850565478
