N,S
2,0.0
3,0.0
4,0.004245754245754245
5,0.007307113690092413
6,0.0101010101010101
7,0.004281037522034752
8,0.019122609673790775
9,0.028487641390867197
10,0.047253106605624595
11,0.020589911655742376
12,0.040231761057613835
13,0.06155201095997651
14,0.06188165017733806
15,0.078942668333631
16,0.07525206984179031
17,0.10470159611380984
18,0.1050577329647097
19,0.11877729257641921
20,0.12836837429671308
21,0.1542965890791978
22,0.163787764090565
23,0.18963329102932336
24,0.2040558468633521
25,0.19436375996539149
26,0.1739386099023874
27,0.1917293233082707
28,0.19989112683723462
29,0.21154159647883497
30,0.22214282068296667
31,0.21979028809935863
32,0.18972714091128784
33,0.20680183126226293
34,0.21248229314223815
35,0.23018915090409134
36,0.24041909011234164
37,0.23244373862183834
38,0.25472436542547244
39,0.23414049927018227
40,0.2521042084168337
41,0.23500170241743273
42,0.26177271004857205
43,0.26113848768054376
44,0.2609281535528824
45,0.2632427898574102
46,0.25169797379863024
47,0.2506398130633136
48,0.2741638206754486
49,0.27691512794713513
50,0.27645565603680783
51,0.28107234131330516
52,0.2875065867061451
53,0.3092627217140836
54,0.29013800893865727
55,0.2929320009748964
56,0.2916839629168397
57,0.2994318181818182
58,0.3247303543913714
59,0.3275901156200408
60,0.3562986071444264
61,0.34920424109613296
62,0.34558334227755716
63,0.3538487840321409
64,0.3382119794284831
65,0.3349015932521087
66,0.34712605167150623
67,0.34896351117493274
68,0.362230458836203
69,0.3727000272454818
70,0.3794737498441202
71,0.3828519189184438
72,0.3772369362920544
73,0.36885310106058
74,0.39332453448248444
75,0.4071840043404025
76,0.4403962417649029
77,0.49722827986882184
78,0.5223992159859143
79,0.5105296641273673
80,0.49288753610584835
81,0.5077922077922078
82,0.5280434580741017
83,0.555859041965329
84,0.5853756281019761
85,0.5833936979355305
86,0.6463042334010076
87,0.6210254342339113
88,0.6421786221590908
89,0.6112767014406358
90,0.6129559908061537
91,0.6204634473691418
92,0.6552652545399599
93,0.6511955956065627
94,0.6687972424649541
95,0.6690368108839164
96,0.6805217483331568
97,0.7112732628196544
98,0.7353810512861481
99,0.7558947007102685
100,0.7679825529318604
