N,Строки и столбцы,Только строки
2,126.81818181818181,135.27272727272728
3,118.0909090909091,147.36363636363637
4,94.54545454545455,106.45454545454545
5,75.18181818181819,81.72727272727273
6,77.27272727272727,89.72727272727273
7,105.81818181818181,127.54545454545455
8,110.36363636363636,115.63636363636364
9,102.45454545454545,115.63636363636364
10,118.18181818181819,136.54545454545453
11,138.27272727272728,122.36363636363636
12,117.9090909090909,101.81818181818181
13,99.72727272727273,76.81818181818181
14,67.18181818181819,73.45454545454545
15,74.45454545454545,76.72727272727273
16,84.81818181818181,80.9090909090909
17,71.45454545454545,74.27272727272727
18,69.9090909090909,70.63636363636364
19,68.18181818181819,68.0909090909091
20,69.63636363636364,74.63636363636364
21,70.0,75.81818181818181
22,69.45454545454545,71.18181818181819
23,68.0,67.63636363636364
24,69.0909090909091,72.72727272727273
25,70.18181818181819,73.63636363636364
26,68.45454545454545,75.72727272727273
27,70.18181818181819,74.45454545454545
28,69.9090909090909,75.0909090909091
29,70.0,73.45454545454545
30,72.18181818181819,74.9090909090909
31,72.63636363636364,78.36363636363636
32,72.36363636363636,80.0909090909091
33,75.72727272727273,78.63636363636364
34,75.45454545454545,78.0909090909091
35,78.0,80.36363636363636
36,75.63636363636364,82.72727272727273
37,76.9090909090909,83.18181818181819
38,79.18181818181819,86.81818181818181
39,78.72727272727273,84.81818181818181
40,82.0,85.0909090909091
41,80.45454545454545,86.36363636363636
42,80.45454545454545,88.81818181818181
43,82.0,88.72727272727273
44,85.18181818181819,92.54545454545455
45,84.54545454545455,91.81818181818181
46,86.9090909090909,92.72727272727273
47,87.18181818181819,94.36363636363636
48,92.0909090909091,96.9090909090909
49,90.54545454545455,97.27272727272727
50,91.45454545454545,101.54545454545455
51,93.45454545454545,101.72727272727273
52,95.27272727272727,103.0909090909091
53,98.63636363636364,106.45454545454545
54,101.0909090909091,107.54545454545455
55,101.0,109.9090909090909
56,102.45454545454545,108.36363636363636
57,103.54545454545455,115.0909090909091
58,106.18181818181819,117.36363636363636
59,110.27272727272727,119.0909090909091
60,112.54545454545455,118.54545454545455
61,120.27272727272727,123.9090909090909
62,118.27272727272727,127.0
63,115.9090909090909,130.1818181818182
64,121.36363636363636,130.0909090909091
65,122.45454545454545,131.8181818181818
66,132.27272727272728,135.8181818181818
67,127.18181818181819,135.63636363636363
68,132.54545454545453,142.27272727272728
69,131.1818181818182,137.0
70,136.9090909090909,148.0909090909091
71,137.63636363636363,149.9090909090909
72,141.1818181818182,146.72727272727272
73,136.36363636363637,151.0
74,140.27272727272728,157.1818181818182
75,148.36363636363637,159.0909090909091
76,148.63636363636363,165.63636363636363
77,145.9090909090909,164.45454545454547
78,155.36363636363637,169.0909090909091
79,155.54545454545453,170.0909090909091
80,163.1818181818182,178.45454545454547
81,158.45454545454547,177.36363636363637
82,173.0909090909091,183.45454545454547
83,164.0909090909091,191.63636363636363
84,164.9090909090909,192.54545454545453
85,161.0909090909091,198.0909090909091
86,174.8181818181818,202.72727272727272
87,169.0,202.0909090909091
88,180.1818181818182,199.9090909090909
89,179.36363636363637,203.36363636363637
90,179.0,201.27272727272728
91,181.45454545454547,208.72727272727272
92,186.54545454545453,208.27272727272728
93,188.36363636363637,215.8181818181818
94,192.0,217.1818181818182
95,193.1818181818182,215.9090909090909
96,195.63636363636363,228.45454545454547
97,197.54545454545453,233.45454545454547
98,239.8181818181818,232.0909090909091
99,239.27272727272728,233.0
100,226.45454545454547,255.63636363636363
