N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.2916666666666667,0.015945330296127564,0.011627906976744184,0.00904392764857881,0.009032258064516128,0.0065359477124183,0.00673076923076923
5,1.0,0.25,0.11504424778761062,0.038690476190476185,0.015738498789346248,0.01771117166212534,0.017241379310344827,0.015719467956469165
6,1.0,0.203125,0.08227848101265825,0.04577464788732395,0.014364640883977903,0.014115092290988058,0.01763907734056988,0.015294117647058826
7,1.0,1.0,0.0762942779291553,0.0671462829736211,0.02486678507992895,0.019971469329529243,0.025408348457350266,0.024054982817869414
8,1.0,0.2941176470588235,0.11111111111111109,0.11811023622047243,0.015856236786469344,0.011829652996845425,0.012489592006661113,0.012355848434925864
9,1.0,0.24050632911392403,0.22891566265060237,0.06129032258064516,0.02108768035516093,0.017690875232774673,0.016888888888888887,0.01685891748003549
10,1.0,0.20610687022900762,0.15789473684210525,0.4821428571428571,0.02716297786720322,0.02165196471531676,0.022406639004149378,0.02076923076923077
11,1.0,0.537313432835821,0.32142857142857145,0.5217391304347827,0.0345489443378119,0.026068066618392473,0.02261306532663317,0.02366863905325444
12,1.0,0.7727272727272727,0.6986301369863014,1.3783783783783785,0.040930979133226325,0.04322033898305085,0.043814432989690726,0.03932151117964534
13,1.0,0.6119402985074627,0.30597014925373134,0.8913043478260868,0.04023552502453385,0.04800936768149882,0.035467128027681656,0.0373746581586144
14,1.0,0.591549295774648,0.7777777777777778,0.84,0.04740406320541761,0.05555555555555556,0.05630026809651475,0.05683355886332882
15,1.0,0.45744680851063835,1.0,1.1621621621621623,0.055844155844155856,0.04994192799070849,0.05498721227621484,0.05250305250305252
16,1.0,0.5740740740740741,1.1481481481481481,0.8051948051948052,0.09037900874635568,0.06037000973709835,0.06262626262626263,0.06645230439442659
17,1.0,0.644736842105263,1.1666666666666665,0.480392156862745,0.07777777777777777,0.05704307334109429,0.058542413381123044,0.062340966921119595
18,1.0,1.1500000000000001,1.5,0.3791208791208791,0.08032596041909197,0.0853960396039604,0.0829326923076923,0.08972691807542263
19,1.0,1.3518518518518519,1.5208333333333335,0.4932432432432433,0.09090909090909091,0.09492847854356308,0.09419354838709679,0.09733333333333334
20,1.0,1.0273972602739725,0.872093023255814,0.31120331950207464,0.1008064516129032,0.09652509652509653,0.10053619302949061,0.09791122715404699
