N,t
2,115.18181818181819
3,60.63636363636363
4,13.454545454545455
5,20.818181818181817
6,11.454545454545455
7,28.0
8,2.909090909090909
9,3.5454545454545454
10,5.181818181818182
11,3.272727272727273
12,4.363636363636363
13,17.454545454545453
14,14.181818181818182
15,10.636363636363637
16,23.272727272727273
17,39.27272727272727
18,12.454545454545455
19,18.09090909090909
20,36.0
21,44.45454545454545
22,35.72727272727273
23,62.72727272727273
24,36.81818181818182
25,44.09090909090909
26,27.454545454545453
27,25.545454545454547
28,52.36363636363637
29,51.81818181818182
30,27.363636363636363
31,32.72727272727273
32,52.72727272727273
33,42.45454545454545
34,70.0
35,25.0
36,52.81818181818182
37,17.727272727272727
38,25.545454545454547
39,22.363636363636363
40,46.90909090909091
41,18.09090909090909
42,33.72727272727273
43,53.90909090909091
44,28.818181818181817
45,40.09090909090909
46,39.90909090909091
47,23.09090909090909
48,32.63636363636363
49,27.818181818181817
50,39.90909090909091
51,50.54545454545455
52,28.727272727272727
53,36.90909090909091
54,36.18181818181818
55,75.27272727272727
56,68.36363636363636
57,58.18181818181818
58,65.54545454545455
59,60.54545454545455
60,45.45454545454545
61,67.0909090909091
62,56.90909090909091
63,96.27272727272727
64,77.72727272727273
65,54.54545454545455
66,80.36363636363636
67,53.63636363636363
68,97.0909090909091
69,94.45454545454545
70,68.27272727272727
71,97.9090909090909
72,82.27272727272727
73,101.36363636363636
74,123.27272727272727
75,57.36363636363637
76,96.54545454545455
77,123.9090909090909
78,120.45454545454545
79,96.72727272727273
80,118.36363636363636
81,110.0
82,127.18181818181819
83,109.27272727272727
84,130.8181818181818
85,125.0909090909091
86,151.27272727272728
87,129.72727272727272
88,188.0909090909091
89,124.36363636363636
90,134.27272727272728
91,200.72727272727272
92,169.27272727272728
93,193.1818181818182
94,206.27272727272728
95,146.8181818181818
96,234.63636363636363
97,156.72727272727272
98,210.54545454545453
99,179.1818181818182
100,196.63636363636363
