N,t
2,44.45454545454545
3,73.27272727272727
4,11.181818181818182
5,3.1818181818181817
6,8.636363636363637
7,22.363636363636363
8,8.727272727272727
9,18.90909090909091
10,18.545454545454547
11,12.818181818181818
12,9.545454545454545
13,4.363636363636363
14,7.454545454545454
15,10.545454545454545
16,11.818181818181818
17,19.727272727272727
18,17.90909090909091
19,9.545454545454545
20,20.545454545454547
21,34.54545454545455
22,14.818181818181818
23,17.272727272727273
24,21.636363636363637
25,31.818181818181817
26,17.181818181818183
27,27.0
28,35.90909090909091
29,51.27272727272727
30,15.636363636363637
31,28.636363636363637
32,34.45454545454545
33,26.90909090909091
34,28.09090909090909
35,80.72727272727273
36,78.0909090909091
37,67.54545454545455
38,59.18181818181818
39,51.45454545454545
40,41.72727272727273
41,43.63636363636363
42,58.45454545454545
43,78.63636363636364
44,70.54545454545455
45,59.27272727272727
46,45.36363636363637
47,56.09090909090909
48,55.81818181818182
49,109.0909090909091
50,76.36363636363636
51,86.63636363636364
52,62.18181818181818
53,76.36363636363636
54,111.9090909090909
55,85.36363636363636
56,98.63636363636364
57,105.36363636363636
58,80.54545454545455
59,91.27272727272727
60,129.72727272727272
61,114.9090909090909
62,98.63636363636364
63,109.45454545454545
64,129.9090909090909
65,159.9090909090909
66,120.81818181818181
67,114.27272727272727
68,185.8181818181818
69,116.45454545454545
70,153.1818181818182
71,174.8181818181818
72,135.0
73,156.36363636363637
74,181.0
75,157.27272727272728
76,207.63636363636363
77,161.72727272727272
78,205.36363636363637
79,201.72727272727272
80,187.72727272727272
81,242.72727272727272
82,218.63636363636363
83,210.0909090909091
84,232.72727272727272
85,201.0
86,242.72727272727272
87,258.27272727272725
88,238.54545454545453
89,243.72727272727272
90,254.8181818181818
91,284.54545454545456
92,263.8181818181818
93,295.1818181818182
94,300.90909090909093
95,270.72727272727275
96,309.6363636363636
97,339.90909090909093
98,289.0
99,344.27272727272725
100,351.72727272727275
