N,t
2,43.27272727272727
3,76.0
4,65.45454545454545
5,15.909090909090908
6,9.818181818181818
7,24.0
8,10.545454545454545
9,9.090909090909092
10,5.363636363636363
11,5.2727272727272725
12,12.545454545454545
13,5.7272727272727275
14,8.090909090909092
15,6.636363636363637
16,7.636363636363637
17,4.2727272727272725
18,5.181818181818182
19,5.181818181818182
20,5.818181818181818
21,4.909090909090909
22,5.7272727272727275
23,9.090909090909092
24,17.0
25,41.09090909090909
26,9.818181818181818
27,12.272727272727273
28,26.0
29,49.18181818181818
30,35.45454545454545
31,14.818181818181818
32,12.090909090909092
33,31.727272727272727
34,22.818181818181817
35,28.09090909090909
36,27.818181818181817
37,16.90909090909091
38,26.545454545454547
39,25.90909090909091
40,59.09090909090909
41,53.09090909090909
42,38.63636363636363
43,53.36363636363637
44,49.90909090909091
45,56.54545454545455
46,40.18181818181818
47,31.272727272727273
48,41.72727272727273
49,54.90909090909091
50,73.81818181818181
51,60.90909090909091
52,41.54545454545455
53,47.36363636363637
54,59.45454545454545
55,46.90909090909091
56,65.72727272727273
57,64.0
58,76.0909090909091
59,52.90909090909091
60,95.72727272727273
61,47.18181818181818
62,56.36363636363637
63,87.81818181818181
64,86.54545454545455
65,125.18181818181819
66,57.09090909090909
67,57.54545454545455
68,101.72727272727273
69,131.63636363636363
70,101.27272727272727
71,68.0909090909091
72,89.0909090909091
73,133.0909090909091
74,102.0
75,96.27272727272727
76,120.63636363636364
77,123.81818181818181
78,136.36363636363637
79,129.36363636363637
80,137.63636363636363
81,142.54545454545453
82,138.8181818181818
83,147.9090909090909
84,150.0
85,140.63636363636363
86,154.54545454545453
87,183.72727272727272
88,144.36363636363637
89,193.1818181818182
90,191.54545454545453
91,159.63636363636363
92,223.27272727272728
93,178.36363636363637
94,202.63636363636363
95,195.0
96,196.0909090909091
97,210.0
98,209.54545454545453
99,213.63636363636363
100,230.0909090909091
