N,t
2,34.45454545454545
3,42.90909090909091
4,47.81818181818182
5,38.09090909090909
6,14.909090909090908
7,15.636363636363637
8,10.636363636363637
9,6.090909090909091
10,10.272727272727273
11,9.727272727272727
12,8.272727272727273
13,31.727272727272727
14,7.818181818181818
15,13.454545454545455
16,23.363636363636363
17,3.5454545454545454
18,4.0
19,4.090909090909091
20,4.0
21,5.090909090909091
22,4.363636363636363
23,6.818181818181818
24,6.181818181818182
25,27.90909090909091
26,6.2727272727272725
27,7.7272727272727275
28,25.545454545454547
29,6.909090909090909
30,7.090909090909091
31,7.909090909090909
32,32.45454545454545
33,14.818181818181818
34,14.636363636363637
35,29.0
36,24.545454545454547
37,40.81818181818182
38,27.90909090909091
39,29.363636363636363
40,23.09090909090909
41,23.363636363636363
42,25.181818181818183
43,25.454545454545453
44,24.727272727272727
45,53.09090909090909
46,26.0
47,48.36363636363637
48,62.0
49,44.81818181818182
50,41.36363636363637
51,50.72727272727273
52,42.90909090909091
53,36.81818181818182
54,27.727272727272727
55,31.181818181818183
56,55.18181818181818
57,54.90909090909091
58,65.54545454545455
59,82.36363636363636
60,62.63636363636363
61,44.36363636363637
62,63.54545454545455
63,38.36363636363637
64,105.54545454545455
65,80.0909090909091
66,81.9090909090909
67,62.18181818181818
68,61.54545454545455
69,72.54545454545455
70,110.81818181818181
71,93.36363636363636
72,83.72727272727273
73,76.18181818181819
74,81.0
75,156.63636363636363
76,147.36363636363637
77,68.27272727272727
78,248.54545454545453
79,152.8181818181818
80,105.36363636363636
81,106.72727272727273
82,153.27272727272728
83,124.0
84,120.54545454545455
85,106.63636363636364
86,158.9090909090909
87,135.72727272727272
88,127.81818181818181
89,151.9090909090909
90,156.36363636363637
91,126.18181818181819
92,184.1818181818182
93,160.0
94,164.45454545454547
95,182.63636363636363
96,161.9090909090909
97,205.63636363636363
98,191.9090909090909
99,189.63636363636363
100,209.45454545454547
