N,S
2,126818181818.18181
3,118090909090.90909
4,1040.0
5,413.5
6,283.3333333333333
7,582.0
8,110.36363636363636
9,70.4375
10,38.23529411764706
11,89.47058823529413
12,44.724137931034484
13,29.64864864864865
14,18.94871794871795
15,15.749999999999998
16,17.277777777777775
17,11.070422535211268
18,10.118421052631579
19,8.522727272727273
20,7.509803921568627
21,6.209677419354838
22,5.457142857142857
23,4.479041916167665
24,4.0
25,4.172972972972974
26,4.327586206896552
27,3.8989898989898992
28,3.560185185185185
29,3.3624454148471616
30,3.1015625
31,3.145669291338583
32,3.133858267716535
33,2.9856630824372763
34,2.7666666666666666
35,2.6399999999999997
36,2.343661971830986
37,2.396600566572238
38,2.1666666666666665
39,2.3532608695652177
40,2.2162162162162162
41,2.179802955665025
42,1.9798657718120807
43,1.995575221238938
44,2.006423982869379
45,1.9375000000000002
46,1.8349328214971208
47,1.809433962264151
48,1.7025210084033613
49,1.662771285475793
50,1.6357723577235772
51,1.6214511041009465
52,1.5548961424332344
53,1.5069444444444446
54,1.6
55,1.5714285714285716
56,1.514784946236559
57,1.4696774193548388
58,1.3855278766310795
59,1.4270588235294117
60,1.2976939203354296
61,1.425646551724138
62,1.3738120380147834
63,1.3090349075975358
64,1.2973760932944607
65,1.2816365366317792
66,1.3263445761166819
67,1.2547085201793724
68,1.249357326478149
69,1.1955260977630489
70,1.2019154030327215
71,1.1818891491022638
72,1.1385630498533725
73,1.0830324909747293
74,1.0604810996563574
75,1.0872751499000666
76,1.0067733990147782
77,0.9134889015367104
78,0.9237837837837838
79,0.9293862031504616
80,0.9614354579539369
81,0.9130434782608697
82,0.9486796213253612
83,0.8715596330275229
84,0.8119964189794091
85,0.7792436235708003
86,0.7606803797468354
87,0.7600163532297628
88,0.7763415589502546
89,0.8017066233238521
90,0.7700430191630817
91,0.748968105065666
92,0.7312900926585887
93,0.7407937075437969
94,0.728527078302863
95,0.7230350459339911
96,0.7111698612029081
97,0.69536
98,0.8119421360418589
99,0.7814726840855107
100,0.7158045977011495
