N,t
2,7.545454545454546
3,3.272727272727273
4,2.1818181818181817
5,4.7272727272727275
6,5.818181818181818
7,2.5454545454545454
8,4.636363636363637
9,7.181818181818182
10,11.909090909090908
11,6.090909090909091
12,6.0
13,6.090909090909091
14,6.454545454545454
15,8.545454545454545
16,9.818181818181818
17,6.909090909090909
18,5.454545454545454
19,4.909090909090909
20,6.636363636363637
21,6.363636363636363
22,7.0
23,8.363636363636363
24,9.0
25,10.636363636363637
26,13.818181818181818
27,17.545454545454547
28,13.727272727272727
29,20.09090909090909
30,20.09090909090909
31,20.363636363636363
32,19.727272727272727
33,29.181818181818183
34,31.0
35,30.363636363636363
36,39.18181818181818
37,32.63636363636363
38,27.272727272727273
39,35.18181818181818
40,41.81818181818182
41,56.81818181818182
42,72.27272727272727
43,52.09090909090909
44,48.27272727272727
45,49.09090909090909
46,53.81818181818182
47,57.45454545454545
48,54.18181818181818
49,55.54545454545455
50,46.36363636363637
51,44.36363636363637
52,49.81818181818182
53,51.36363636363637
54,59.0
55,56.0
56,68.18181818181819
57,62.18181818181818
58,66.81818181818181
59,62.81818181818182
60,66.18181818181819
61,73.45454545454545
62,79.0909090909091
63,79.36363636363636
64,75.9090909090909
65,78.63636363636364
66,90.81818181818181
67,96.27272727272727
68,101.36363636363636
69,100.54545454545455
70,102.0909090909091
71,107.36363636363636
72,121.63636363636364
73,109.27272727272727
74,111.18181818181819
75,124.45454545454545
76,126.0
77,119.36363636363636
78,122.72727272727273
79,134.1818181818182
80,136.72727272727272
81,129.9090909090909
82,153.9090909090909
83,148.8181818181818
84,150.54545454545453
85,161.0
86,167.8181818181818
87,162.0
88,177.63636363636363
89,174.54545454545453
90,189.0909090909091
91,175.72727272727272
92,190.8181818181818
93,197.36363636363637
94,198.54545454545453
95,207.63636363636363
96,213.1818181818182
97,219.0
98,225.1818181818182
99,223.8181818181818
100,234.8181818181818
