N,t
2,27.363636363636363
3,16.0
4,39.90909090909091
5,10.272727272727273
6,14.363636363636363
7,33.36363636363637
8,12.272727272727273
9,7.545454545454546
10,15.545454545454545
11,10.181818181818182
12,6.636363636363637
13,12.181818181818182
14,4.909090909090909
15,3.909090909090909
16,4.909090909090909
17,3.8181818181818183
18,4.181818181818182
19,4.363636363636363
20,7.818181818181818
21,9.181818181818182
22,15.181818181818182
23,6.181818181818182
24,8.363636363636363
25,20.818181818181817
26,15.090909090909092
27,11.0
28,23.0
29,37.09090909090909
30,24.818181818181817
31,32.63636363636363
32,59.27272727272727
33,45.36363636363637
34,36.27272727272727
35,34.54545454545455
36,33.54545454545455
37,49.90909090909091
38,47.54545454545455
39,84.54545454545455
40,58.18181818181818
41,92.0
42,47.54545454545455
43,36.63636363636363
44,36.36363636363637
45,43.27272727272727
46,36.81818181818182
47,45.54545454545455
48,38.18181818181818
49,63.54545454545455
50,43.81818181818182
51,49.54545454545455
52,36.81818181818182
53,48.54545454545455
54,56.81818181818182
55,57.63636363636363
56,61.09090909090909
57,67.27272727272727
58,80.18181818181819
59,58.63636363636363
60,59.09090909090909
61,64.54545454545455
62,81.27272727272727
63,75.9090909090909
64,86.63636363636364
65,66.0
66,69.36363636363636
67,98.72727272727273
68,94.27272727272727
69,99.54545454545455
70,87.0909090909091
71,89.27272727272727
72,105.9090909090909
73,115.0909090909091
74,103.63636363636364
75,102.63636363636364
76,131.0
77,119.0
78,117.54545454545455
79,123.54545454545455
80,136.36363636363637
81,134.54545454545453
82,130.8181818181818
83,155.1818181818182
84,141.63636363636363
85,159.45454545454547
86,150.45454545454547
87,158.54545454545453
88,178.54545454545453
89,157.27272727272728
90,194.36363636363637
91,169.0909090909091
92,182.54545454545453
93,174.27272727272728
94,190.72727272727272
95,199.9090909090909
96,194.9090909090909
97,264.72727272727275
98,208.63636363636363
99,241.72727272727272
100,217.63636363636363
