N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.33333333333333337,0.07142857142857144,0.002531645569620253,0.003048780487804878,0.001447178002894356,0.0010277492291880781,0.0009389671361502348,0.0008539709649871904
5,2.0,0.03225806451612903,0.025,0.0040650406504065045,0.002706359945872801,0.002304147465437788,0.0026954177897574125,0.002224694104560623
6,0.7499999999999999,0.023809523809523808,0.047619047619047616,0.009933774834437087,0.004103967168262654,0.0037037037037037034,0.003826530612244898,0.0030395136778115497
7,0.16666666666666669,0.05,0.012195121951219513,0.008097165991902834,0.002290950744558992,0.0018501387604070306,0.001932367149758454,0.0014255167498218105
8,0.7857142857142857,0.13924050632911392,0.08661417322834646,0.08396946564885496,0.011156186612576065,0.010689990281827016,0.008994276369582992,0.008647798742138365
9,1.4545454545454546,0.19047619047619047,0.08648648648648649,0.10526315789473685,0.018497109826589597,0.015223596574690771,0.01260835303388495,0.012578616352201259
10,3.090909090909091,0.425,0.33999999999999997,0.07640449438202247,0.037037037037037035,0.03406813627254509,0.02800658978583196,0.022636484687083888
11,1.0625,0.2833333333333333,0.1297709923664122,0.13821138211382114,0.01816239316239316,0.016881827209533268,0.011564625850340137,0.01263001485884101
12,1.526315789473684,0.3222222222222222,0.48333333333333334,0.45312499999999994,0.027724665391969404,0.024046434494195686,0.02314445331205108,0.025892857142857145
13,1.6818181818181819,0.5441176470588236,0.8222222222222223,0.902439024390244,0.034227567067530065,0.03321364452423699,0.03312444046553268,0.04378698224852071
14,1.625,0.5064935064935064,0.30952380952380953,0.5909090909090909,0.03939393939393939,0.0430939226519337,0.05071521456436931,0.04826732673267327
15,2.08,0.8253968253968254,0.5473684210526316,1.625,0.05714285714285714,0.07503607503607504,0.06815203145478375,0.061611374407582936
16,1.542857142857143,0.5684210526315789,0.7605633802816902,0.6067415730337078,0.06490384615384615,0.0821917808219178,0.06506024096385542,0.060674157303370786
17,2.088235294117647,0.7634408602150536,0.3256880733944954,0.3549999999999999,0.08637469586374695,0.10349854227405246,0.08543922984356196,0.08690330477356181
18,1.7674418604651163,0.8260869565217391,0.3153526970954357,0.18357487922705315,0.10689170182841068,0.08587570621468926,0.09693877551020409,0.0978120978120978
19,1.872340425531915,0.9887640449438201,0.4971751412429379,0.1676190476190476,0.11311053984575835,0.11311053984575835,0.12087912087912087,0.11748998664886515
