N,t
2,48.18181818181818
3,62.27272727272727
4,32.54545454545455
5,28.454545454545453
6,14.181818181818182
7,16.272727272727273
8,13.272727272727273
9,15.727272727272727
10,12.727272727272727
11,5.909090909090909
12,20.545454545454547
13,47.0
14,19.363636363636363
15,6.0
16,8.545454545454545
17,6.363636363636363
18,10.090909090909092
19,23.818181818181817
20,14.818181818181818
21,16.818181818181817
22,19.0
23,34.45454545454545
24,70.9090909090909
25,24.636363636363637
26,29.454545454545453
27,66.18181818181819
28,20.545454545454547
29,46.63636363636363
30,27.272727272727273
31,53.09090909090909
32,32.18181818181818
33,39.18181818181818
34,36.36363636363637
35,27.727272727272727
36,21.363636363636363
37,27.454545454545453
38,13.0
39,22.09090909090909
40,34.81818181818182
41,27.181818181818183
42,26.636363636363637
43,32.81818181818182
44,48.90909090909091
45,37.72727272727273
46,42.27272727272727
47,63.36363636363637
48,55.0
49,30.0
50,31.181818181818183
51,39.54545454545455
52,54.18181818181818
53,81.36363636363636
54,76.81818181818181
55,60.54545454545455
56,31.0
57,34.36363636363637
58,53.0
59,79.0
60,88.0909090909091
61,91.9090909090909
62,56.63636363636363
63,47.72727272727273
64,53.18181818181818
65,115.0
66,106.72727272727273
67,91.63636363636364
68,53.45454545454545
69,87.63636363636364
70,127.45454545454545
71,102.72727272727273
72,119.0909090909091
73,83.0
74,125.63636363636364
75,107.54545454545455
76,109.9090909090909
77,124.63636363636364
78,145.9090909090909
79,123.27272727272727
80,114.0909090909091
81,171.1818181818182
82,219.1818181818182
83,140.9090909090909
84,199.63636363636363
85,147.8181818181818
86,158.0
87,181.36363636363637
88,147.0
89,200.27272727272728
90,170.54545454545453
91,203.54545454545453
92,187.54545454545453
93,174.27272727272728
94,223.63636363636363
95,209.36363636363637
96,203.63636363636363
97,212.63636363636363
98,240.0
99,209.45454545454547
100,225.9090909090909
