N,t
2,93.27272727272727
3,40.09090909090909
4,11.090909090909092
5,20.90909090909091
6,10.0
7,5.090909090909091
8,6.909090909090909
9,8.727272727272727
10,11.363636363636363
11,7.636363636363637
12,3.1818181818181817
13,3.6363636363636362
14,5.363636363636363
15,8.181818181818182
16,16.454545454545453
17,5.909090909090909
18,10.636363636363637
19,15.818181818181818
20,23.181818181818183
21,4.363636363636363
22,7.181818181818182
23,9.909090909090908
24,8.818181818181818
25,10.727272727272727
26,15.454545454545455
27,18.363636363636363
28,18.0
29,20.09090909090909
30,20.181818181818183
31,19.90909090909091
32,49.36363636363637
33,26.09090909090909
34,42.18181818181818
35,13.272727272727273
36,15.363636363636363
37,28.727272727272727
38,18.363636363636363
39,17.0
40,16.454545454545453
41,24.09090909090909
42,92.27272727272727
43,25.363636363636363
44,48.63636363636363
45,72.72727272727273
46,34.90909090909091
47,42.72727272727273
48,47.90909090909091
49,39.27272727272727
50,61.72727272727273
51,56.18181818181818
52,58.54545454545455
53,58.45454545454545
54,44.63636363636363
55,35.63636363636363
56,57.54545454545455
57,64.72727272727273
58,90.18181818181819
59,78.0909090909091
60,49.18181818181818
61,61.45454545454545
62,70.63636363636364
63,68.36363636363636
64,92.63636363636364
65,76.0
66,75.9090909090909
67,89.9090909090909
68,92.81818181818181
69,100.45454545454545
70,77.81818181818181
71,114.54545454545455
72,99.54545454545455
73,108.9090909090909
74,86.45454545454545
75,117.0
76,107.0
77,135.0
78,131.8181818181818
79,106.63636363636364
80,150.9090909090909
81,133.45454545454547
82,124.72727272727273
83,155.54545454545453
84,178.54545454545453
85,127.45454545454545
86,157.63636363636363
87,165.0909090909091
88,153.0909090909091
89,172.63636363636363
90,187.54545454545453
91,170.8181818181818
92,229.45454545454547
93,181.8181818181818
94,216.27272727272728
95,180.8181818181818
96,218.8181818181818
97,216.8181818181818
98,219.54545454545453
99,230.36363636363637
100,219.54545454545453
