N,t
2,66.0
3,62.54545454545455
4,34.72727272727273
5,3.3636363636363638
6,15.545454545454545
7,13.909090909090908
8,67.0909090909091
9,3.1818181818181817
10,4.090909090909091
11,11.272727272727273
12,6.0
13,4.818181818181818
14,6.181818181818182
15,9.636363636363637
16,19.636363636363637
17,17.636363636363637
18,4.181818181818182
19,6.818181818181818
20,21.454545454545453
21,6.545454545454546
22,4.818181818181818
23,30.818181818181817
24,7.181818181818182
25,16.727272727272727
26,10.272727272727273
27,31.09090909090909
28,6.818181818181818
29,10.909090909090908
30,39.90909090909091
31,16.454545454545453
32,16.818181818181817
33,39.54545454545455
34,28.181818181818183
35,25.181818181818183
36,47.54545454545455
37,26.09090909090909
38,18.09090909090909
39,30.09090909090909
40,31.818181818181817
41,42.72727272727273
42,41.81818181818182
43,33.45454545454545
44,35.90909090909091
45,47.09090909090909
46,29.454545454545453
47,53.63636363636363
48,53.36363636363637
49,47.90909090909091
50,80.63636363636364
51,28.454545454545453
52,47.81818181818182
53,43.36363636363637
54,55.09090909090909
55,77.18181818181819
56,86.0
57,71.72727272727273
58,41.90909090909091
59,54.90909090909091
60,55.36363636363637
61,75.27272727272727
62,69.81818181818181
63,93.54545454545455
64,100.9090909090909
65,67.18181818181819
66,65.0909090909091
67,92.9090909090909
68,104.36363636363636
69,94.0
70,82.18181818181819
71,118.18181818181819
72,98.9090909090909
73,138.1818181818182
74,139.1818181818182
75,97.81818181818181
76,146.45454545454547
77,122.27272727272727
78,140.36363636363637
79,132.1818181818182
80,139.72727272727272
81,131.36363636363637
82,159.8181818181818
83,166.1818181818182
84,163.8181818181818
85,149.54545454545453
86,198.27272727272728
87,178.72727272727272
88,201.36363636363637
89,164.36363636363637
90,209.36363636363637
91,235.0909090909091
92,299.54545454545456
93,355.8181818181818
94,239.9090909090909
95,242.27272727272728
96,226.0
97,258.45454545454544
98,265.3636363636364
99,475.09090909090907
100,324.54545454545456
