N,S
2,0.0
3,0.0
4,0.002531645569620253
5,0.025
6,0.047619047619047616
7,0.012195121951219513
8,0.08661417322834646
9,0.08648648648648649
10,0.33999999999999997
11,0.1297709923664122
12,0.48333333333333334
13,0.8222222222222223
14,0.30952380952380953
15,0.5473684210526316
16,0.7605633802816902
17,0.3256880733944954
18,0.3153526970954357
19,0.4971751412429379
20,1.4166666666666667
21,1.4418604651162792
22,1.6091954022988504
23,0.7731481481481481
24,1.3868613138686132
25,1.5546218487394956
26,1.8913043478260871
27,1.375
28,1.4896551724137932
29,1.2651933701657458
30,0.8737201365187713
31,0.6135265700483092
32,1.0583333333333333
33,0.9893617021276595
34,0.8108108108108109
35,0.6513026052104208
36,0.7601713062098502
37,0.5767973856209151
38,0.9925925925925926
39,0.8159645232815964
40,0.5251612903225806
41,0.6800670016750419
42,0.7140575079872205
43,0.7985865724381627
44,1.0086393088552914
45,1.256544502617801
46,1.0504032258064517
47,0.9584086799276672
48,1.1442307692307692
49,1.4330143540669855
50,1.3516483516483515
51,1.0275526742301457
52,1.2911877394636015
53,1.232876712328767
54,1.1860068259385665
55,1.1311999999999998
56,1.419847328244275
57,1.3525305410122164
58,1.518918918918919
59,1.3798701298701297
60,1.1131855309218204
61,0.9967776584317937
62,1.2780026990553308
63,1.1664670658682634
64,1.6003110419906688
65,1.3792650918635172
66,0.9360068259385667
67,1.3086854460093897
68,1.0686813186813189
69,1.4524669073405536
70,1.3273305084745763
71,0.9816091954022989
72,0.8771704180064308
73,1.2919776119402986
74,1.401734104046243
75,1.2253061224489799
76,1.254054054054054
77,1.3557098765432098
78,1.7518939393939394
79,1.1456129433727442
80,1.1816455696202532
81,1.5868661679135494
82,1.2981888745148773
83,1.3326898326898327
84,1.4211195928753182
85,1.2515134837644468
86,1.5889377749842868
87,1.3566278424847478
88,1.3289953149401355
89,1.4861111111111112
90,1.3514799154334038
91,1.451525054466231
92,1.3387404580152673
93,1.424134419551935
94,1.289590747330961
95,1.4798590130916416
96,1.3861658268437926
97,1.4269406392694062
98,1.3986224709427464
99,1.415720891130727
100,1.5256466462078035
