N,t
2,17.181818181818183
3,1.9090909090909092
4,1.2727272727272727
5,5.636363636363637
6,11.454545454545455
7,3.6363636363636362
8,7.181818181818182
9,7.636363636363637
10,7.2727272727272725
11,5.454545454545454
12,8.181818181818182
13,6.181818181818182
14,7.0
15,5.7272727272727275
16,8.636363636363637
17,8.454545454545455
18,8.363636363636363
19,8.090909090909092
20,6.545454545454546
21,9.0
22,13.181818181818182
23,11.727272727272727
24,14.0
25,13.454545454545455
26,16.818181818181817
27,12.909090909090908
28,10.545454545454545
29,11.909090909090908
30,12.454545454545455
31,16.636363636363637
32,19.727272727272727
33,21.818181818181817
34,32.18181818181818
35,33.72727272727273
36,58.27272727272727
37,28.181818181818183
38,37.09090909090909
39,41.54545454545455
40,45.27272727272727
41,41.81818181818182
42,53.54545454545455
43,58.0
44,58.81818181818182
45,50.27272727272727
46,52.18181818181818
47,52.0
48,46.09090909090909
49,44.72727272727273
50,47.54545454545455
51,48.90909090909091
52,52.81818181818182
53,59.18181818181818
54,51.90909090909091
55,56.54545454545455
56,56.27272727272727
57,58.81818181818182
58,67.27272727272727
59,64.18181818181819
60,66.72727272727273
61,68.0909090909091
62,74.36363636363636
63,73.27272727272727
64,75.9090909090909
65,81.54545454545455
66,81.27272727272727
67,87.0
68,102.9090909090909
69,92.54545454545455
70,94.27272727272727
71,98.63636363636364
72,104.18181818181819
73,107.0
74,109.72727272727273
75,118.0
76,124.0909090909091
77,125.9090909090909
78,131.45454545454547
79,125.36363636363636
80,135.72727272727272
81,147.63636363636363
82,142.8181818181818
83,150.8181818181818
84,164.1818181818182
85,154.36363636363637
86,175.1818181818182
87,175.36363636363637
88,173.9090909090909
89,189.1818181818182
90,180.63636363636363
91,197.9090909090909
92,195.45454545454547
93,205.9090909090909
94,220.9090909090909
95,216.0909090909091
96,221.1818181818182
97,228.0
98,236.36363636363637
99,238.45454545454547
100,248.27272727272728
