N,t
2,40.09090909090909
3,80.81818181818181
4,29.818181818181817
5,44.72727272727273
6,27.454545454545453
7,22.454545454545453
8,11.909090909090908
9,13.818181818181818
10,40.45454545454545
11,11.181818181818182
12,5.818181818181818
13,3.727272727272727
14,6.0
15,2.909090909090909
16,8.090909090909092
17,18.181818181818183
18,37.63636363636363
19,47.72727272727273
20,19.454545454545453
21,17.0
22,16.181818181818183
23,15.454545454545455
24,41.27272727272727
25,35.81818181818182
26,40.36363636363637
27,51.63636363636363
28,129.8181818181818
29,63.09090909090909
30,50.81818181818182
31,32.36363636363637
32,102.27272727272727
33,19.727272727272727
34,18.90909090909091
35,28.636363636363637
36,41.09090909090909
37,15.454545454545455
38,14.272727272727273
39,25.454545454545453
40,24.636363636363637
41,41.45454545454545
42,33.72727272727273
43,66.72727272727273
44,27.0
45,42.72727272727273
46,36.0
47,58.54545454545455
48,54.63636363636363
49,42.36363636363637
50,31.636363636363637
51,44.36363636363637
52,81.36363636363636
53,41.45454545454545
54,49.90909090909091
55,49.72727272727273
56,47.63636363636363
57,69.9090909090909
58,36.90909090909091
59,48.36363636363637
60,110.72727272727273
61,58.45454545454545
62,87.0
63,87.36363636363636
64,90.0909090909091
65,68.9090909090909
66,89.54545454545455
67,85.0909090909091
68,95.63636363636364
69,89.0
70,99.81818181818181
71,101.72727272727273
72,87.0909090909091
73,110.72727272727273
74,120.0909090909091
75,102.72727272727273
76,103.18181818181819
77,117.0
78,128.36363636363637
79,110.81818181818181
80,137.1818181818182
81,144.0909090909091
82,127.18181818181819
83,140.36363636363637
84,143.63636363636363
85,146.0909090909091
86,160.63636363636363
87,169.9090909090909
88,153.63636363636363
89,172.36363636363637
90,177.63636363636363
91,165.36363636363637
92,208.45454545454547
93,179.0
94,198.27272727272728
95,195.1818181818182
96,215.1818181818182
97,210.63636363636363
98,232.1818181818182
99,199.0909090909091
100,244.63636363636363
