N,Строки и столбцы,Только строки
2,151.54545454545453,134.0
3,88.9090909090909,87.54545454545455
4,73.54545454545455,69.36363636363636
5,67.45454545454545,73.72727272727273
6,112.54545454545455,70.81818181818181
7,120.81818181818181,103.72727272727273
8,115.0,97.81818181818181
9,105.0,89.72727272727273
10,121.45454545454545,89.45454545454545
11,124.36363636363636,98.27272727272727
12,104.54545454545455,113.72727272727273
13,81.63636363636364,93.72727272727273
14,74.54545454545455,81.81818181818181
15,76.0,83.18181818181819
16,81.45454545454545,75.27272727272727
17,75.0,65.36363636363636
18,75.54545454545455,73.72727272727273
19,79.27272727272727,71.36363636363636
20,72.9090909090909,64.54545454545455
21,71.9090909090909,67.0
22,71.81818181818181,70.0
23,71.63636363636364,62.90909090909091
24,77.27272727272727,66.0
25,75.0,64.72727272727273
26,75.63636363636364,70.27272727272727
27,70.72727272727273,68.36363636363636
28,76.54545454545455,71.72727272727273
29,76.63636363636364,82.81818181818181
30,83.45454545454545,83.45454545454545
31,86.45454545454545,88.63636363636364
32,80.63636363636364,82.18181818181819
33,79.36363636363636,72.0909090909091
34,88.0,85.36363636363636
35,89.72727272727273,87.0
36,89.63636363636364,87.36363636363636
37,81.81818181818181,81.9090909090909
38,91.81818181818181,84.54545454545455
39,95.0,89.36363636363636
40,97.72727272727273,88.18181818181819
41,92.18181818181819,83.54545454545455
42,91.36363636363636,84.9090909090909
43,99.72727272727273,79.9090909090909
44,97.18181818181819,85.18181818181819
45,104.0909090909091,103.0909090909091
46,98.54545454545455,88.54545454545455
47,104.0909090909091,93.0
48,100.0,90.18181818181819
49,106.27272727272727,94.72727272727273
50,111.18181818181819,96.27272727272727
51,107.54545454545455,101.54545454545455
52,108.27272727272727,96.0909090909091
53,112.9090909090909,96.9090909090909
54,122.0,115.27272727272727
55,115.81818181818181,111.0
56,123.0,106.9090909090909
57,120.27272727272727,119.18181818181819
58,126.36363636363636,121.81818181818181
59,124.36363636363636,111.63636363636364
60,124.0,116.36363636363636
61,130.63636363636363,121.36363636363636
62,143.1818181818182,119.36363636363636
63,132.1818181818182,133.9090909090909
64,145.0909090909091,119.45454545454545
65,147.0909090909091,119.18181818181819
66,144.0909090909091,136.27272727272728
67,156.27272727272728,131.8181818181818
68,150.36363636363637,121.0909090909091
69,157.45454545454547,159.0
70,161.72727272727272,160.0909090909091
71,161.36363636363637,148.36363636363637
72,166.36363636363637,151.9090909090909
73,165.54545454545453,161.45454545454547
74,164.45454545454547,149.27272727272728
75,179.27272727272728,162.9090909090909
76,184.0909090909091,177.27272727272728
77,181.36363636363637,177.0909090909091
78,192.45454545454547,183.72727272727272
79,185.8181818181818,179.8181818181818
80,206.8181818181818,180.1818181818182
81,196.27272727272728,185.63636363636363
82,216.9090909090909,175.0
83,206.72727272727272,203.72727272727272
84,214.72727272727272,178.72727272727272
85,214.54545454545453,199.72727272727272
86,235.36363636363637,195.45454545454547
87,223.1818181818182,218.45454545454547
88,228.9090909090909,226.0909090909091
89,238.36363636363637,222.54545454545453
90,242.9090909090909,229.72727272727272
91,254.0909090909091,221.36363636363637
92,252.72727272727272,242.0
93,264.3636363636364,244.9090909090909
94,266.8181818181818,256.1818181818182
95,250.72727272727272,262.27272727272725
96,272.45454545454544,274.27272727272725
97,267.09090909090907,275.6363636363636
98,284.8181818181818,290.09090909090907
99,286.90909090909093,313.45454545454544
100,291.09090909090907,283.90909090909093
