N,plain,1,2,3,4,5,6,7,8
2,0.0,1.5454545454545454,8.0,25.90909090909091,59.63636363636363,131.8181818181818,151.54545454545453,109.54545454545455,129.27272727272728
3,0.0,0.18181818181818182,1.4545454545454546,9.909090909090908,60.54545454545455,86.81818181818181,88.9090909090909,124.27272727272727,121.72727272727273
4,0.09090909090909091,0.8181818181818182,3.909090909090909,17.636363636363637,64.0909090909091,58.72727272727273,73.54545454545455,109.63636363636364,98.54545454545455
5,0.18181818181818182,1.0909090909090908,18.272727272727273,7.454545454545454,33.90909090909091,66.63636363636364,67.45454545454545,67.18181818181819,68.0909090909091
6,0.2727272727272727,1.0909090909090908,5.636363636363637,16.454545454545453,18.0,69.81818181818181,112.54545454545455,63.18181818181818,66.54545454545455
7,0.18181818181818182,1.1818181818181819,5.181818181818182,13.363636363636363,10.272727272727273,101.18181818181819,120.81818181818181,91.0,110.0909090909091
8,1.0,3.6363636363636362,5.818181818181818,15.181818181818182,6.7272727272727275,104.81818181818181,115.0,122.81818181818181,111.81818181818181
9,1.4545454545454546,2.0,6.181818181818182,20.09090909090909,14.181818181818182,93.36363636363636,105.0,108.54545454545455,109.63636363636364
10,3.090909090909091,3.0,4.545454545454546,29.636363636363637,5.0,96.36363636363636,121.45454545454545,123.0,118.36363636363636
11,1.5454545454545454,3.4545454545454546,7.818181818181818,11.0,3.272727272727273,100.9090909090909,124.36363636363636,134.8181818181818,137.1818181818182
12,2.6363636363636362,2.727272727272727,5.2727272727272725,5.0,5.2727272727272725,109.54545454545455,104.54545454545455,123.72727272727273,135.45454545454547
13,3.3636363636363638,4.909090909090909,8.909090909090908,6.636363636363637,15.636363636363637,100.36363636363636,81.63636363636364,105.27272727272727,92.72727272727273
14,3.5454545454545454,4.363636363636363,6.454545454545454,17.454545454545453,19.0,80.18181818181819,74.54545454545455,67.0,69.81818181818181
15,4.7272727272727275,3.727272727272727,5.0,3.0,5.909090909090909,69.36363636363636,76.0,67.63636363636364,74.18181818181819
16,4.909090909090909,6.2727272727272725,7.636363636363637,3.5454545454545454,5.7272727272727275,64.36363636363636,81.45454545454545,86.45454545454545,82.63636363636364
17,6.454545454545454,5.090909090909091,6.363636363636363,3.909090909090909,11.636363636363637,64.54545454545455,75.0,73.0909090909091,76.27272727272727
18,6.909090909090909,6.0,9.454545454545455,4.0,79.18181818181819,72.72727272727273,75.54545454545455,68.9090909090909,68.27272727272727
19,8.0,6.090909090909091,8.272727272727273,4.454545454545454,48.0,64.0,79.27272727272727,65.27272727272727,68.36363636363636
20,9.272727272727273,6.0,12.363636363636363,5.545454545454546,27.363636363636363,64.27272727272727,72.9090909090909,68.36363636363636,69.0909090909091
21,11.272727272727273,6.909090909090909,12.272727272727273,22.272727272727273,18.90909090909091,66.18181818181819,71.9090909090909,75.0,76.72727272727273
22,12.727272727272727,7.636363636363637,10.0,29.09090909090909,24.272727272727273,65.0909090909091,71.81818181818181,70.18181818181819,69.0909090909091
23,15.181818181818182,9.0,9.909090909090908,10.454545454545455,25.272727272727273,70.36363636363636,71.63636363636364,69.45454545454545,71.0909090909091
24,17.272727272727273,9.727272727272727,10.545454545454545,14.363636363636363,106.0909090909091,70.63636363636364,77.27272727272727,69.54545454545455,67.72727272727273
25,16.818181818181817,11.090909090909092,10.090909090909092,16.90909090909091,75.0909090909091,63.36363636363637,75.0,71.18181818181819,70.72727272727273
26,15.818181818181818,13.545454545454545,13.636363636363637,19.363636363636363,91.81818181818181,63.63636363636363,75.63636363636364,69.0,71.81818181818181
27,18.0,16.09090909090909,10.454545454545455,46.54545454545455,39.0,69.0,70.72727272727273,71.18181818181819,72.45454545454545
28,19.636363636363637,20.818181818181817,13.272727272727273,22.545454545454547,35.27272727272727,68.81818181818181,76.54545454545455,71.45454545454545,72.27272727272727
29,20.818181818181817,20.90909090909091,14.454545454545455,16.454545454545453,80.9090909090909,68.9090909090909,76.63636363636364,71.9090909090909,73.0909090909091
30,23.272727272727273,17.90909090909091,15.0,28.90909090909091,45.18181818181818,72.63636363636364,83.45454545454545,75.54545454545455,73.36363636363636
31,23.09090909090909,16.727272727272727,19.272727272727273,46.54545454545455,58.27272727272727,68.9090909090909,86.45454545454545,72.54545454545455,74.27272727272727
32,23.09090909090909,18.363636363636363,26.0,41.0,58.18181818181818,70.72727272727273,80.63636363636364,74.18181818181819,74.36363636363636
33,25.363636363636363,24.272727272727273,31.545454545454547,40.45454545454545,42.81818181818182,74.72727272727273,79.36363636363636,74.0,75.36363636363636
34,27.272727272727273,30.363636363636363,32.90909090909091,72.27272727272727,14.454545454545455,74.9090909090909,88.0,76.45454545454545,75.27272727272727
35,29.545454545454547,33.45454545454545,36.54545454545455,51.90909090909091,14.0,77.27272727272727,89.72727272727273,77.63636363636364,77.36363636363636
36,32.27272727272727,30.727272727272727,39.90909090909091,59.45454545454545,19.90909090909091,80.36363636363636,89.63636363636364,79.45454545454545,78.0909090909091
37,32.09090909090909,30.363636363636363,43.45454545454545,52.09090909090909,32.72727272727273,74.9090909090909,81.81818181818181,79.81818181818181,76.27272727272727
38,36.54545454545455,31.636363636363637,40.09090909090909,48.54545454545455,27.09090909090909,76.0909090909091,91.81818181818181,80.81818181818181,81.63636363636364
39,33.45454545454545,37.63636363636363,33.90909090909091,46.0,40.45454545454545,85.27272727272727,95.0,82.72727272727273,82.0
40,37.0,42.63636363636363,38.63636363636363,51.90909090909091,25.545454545454547,83.27272727272727,97.72727272727273,82.36363636363636,82.18181818181819
41,36.90909090909091,49.09090909090909,46.27272727272727,58.54545454545455,48.54545454545455,85.9090909090909,92.18181818181819,82.9090909090909,84.18181818181819
