N,1,2,3,4,5,6,7,8
2,1545454545.4545453,7999999999.999999,25909090909.090908,59636363636.36363,131818181818.18181,151545454545.45453,109545454545.45454,129272727272.72728
3,0.2222222222222222,1.7777777777777777,12.111111111111109,74.0,106.1111111111111,108.66666666666666,151.88888888888889,148.77777777777777
4,818181818.1818181,3909090909.090909,17636363636.363636,64090909090.90909,58727272727.27272,73545454545.45454,109636363636.36363,98545454545.45454
5,1090909090.9090908,18272727272.727272,7454545454.545454,33909090909.090904,66636363636.36364,67454545454.54545,67181818181.818184,68090909090.90909
6,11.999999999999998,62.0,180.99999999999997,198.0,767.9999999999999,1238.0,695.0,732.0
7,2.6,11.4,29.4,22.6,222.60000000000002,265.8,200.20000000000002,242.20000000000002
8,5.714285714285714,9.142857142857144,23.857142857142858,10.571428571428571,164.71428571428572,180.71428571428572,193.0,175.71428571428572
9,1.0,3.090909090909091,10.045454545454545,7.090909090909091,46.68181818181818,52.5,54.27272727272727,54.81818181818182
10,1.6500000000000001,2.5000000000000004,16.3,2.75,53.0,66.8,67.65,65.1
11,1.1515151515151516,2.606060606060606,3.6666666666666665,1.090909090909091,33.63636363636363,41.45454545454545,44.93939393939394,45.72727272727273
12,0.8333333333333333,1.611111111111111,1.5277777777777777,1.611111111111111,33.47222222222222,31.944444444444443,37.80555555555556,41.38888888888889
13,1.3170731707317074,2.3902439024390243,1.780487804878049,4.195121951219512,26.926829268292682,21.902439024390247,28.24390243902439,24.87804878048781
14,1.0434782608695652,1.5434782608695652,4.173913043478261,4.543478260869565,19.17391304347826,17.82608695652174,16.021739130434785,16.695652173913043
15,0.976190476190476,1.3095238095238095,0.7857142857142857,1.5476190476190477,18.166666666666664,19.904761904761905,17.714285714285715,19.42857142857143
16,1.2105263157894737,1.473684210526316,0.6842105263157895,1.105263157894737,12.421052631578947,15.719298245614036,16.68421052631579,15.947368421052634
17,0.7368421052631579,0.9210526315789473,0.5657894736842105,1.6842105263157896,9.342105263157896,10.855263157894736,10.578947368421053,11.039473684210526
18,0.6875,1.0833333333333335,0.45833333333333337,9.072916666666668,8.333333333333334,8.65625,7.895833333333334,7.822916666666666
19,0.6146788990825689,0.834862385321101,0.4495412844036697,4.844036697247707,6.458715596330276,8.0,6.587155963302752,6.89908256880734
20,0.5789473684210527,1.1929824561403508,0.5350877192982457,2.6403508771929824,6.201754385964912,7.035087719298246,6.5964912280701755,6.666666666666667
