N,t
2,42.0
3,69.0
4,68.63636363636364
5,20.181818181818183
6,30.272727272727273
7,32.36363636363637
8,11.090909090909092
9,18.0
10,16.181818181818183
11,14.181818181818182
12,8.545454545454545
13,6.363636363636363
14,10.363636363636363
15,14.090909090909092
16,41.0
17,40.81818181818182
18,17.90909090909091
19,22.818181818181817
20,54.54545454545455
21,41.72727272727273
22,35.18181818181818
23,37.45454545454545
24,30.181818181818183
25,71.18181818181819
26,44.81818181818182
27,81.0909090909091
28,103.9090909090909
29,57.0
30,79.63636363636364
31,23.0
32,25.09090909090909
33,24.454545454545453
34,28.545454545454547
35,41.90909090909091
36,19.818181818181817
37,15.363636363636363
38,17.09090909090909
39,47.90909090909091
40,26.272727272727273
41,31.545454545454547
42,38.18181818181818
43,64.18181818181819
44,45.63636363636363
45,21.363636363636363
46,22.0
47,23.09090909090909
48,32.72727272727273
49,48.36363636363637
50,57.0
51,58.63636363636363
52,100.54545454545455
53,47.45454545454545
54,32.36363636363637
55,31.09090909090909
56,41.45454545454545
57,73.0909090909091
58,65.72727272727273
59,99.72727272727273
60,78.72727272727273
61,41.54545454545455
62,66.36363636363636
63,61.0
64,76.45454545454545
65,113.45454545454545
66,82.45454545454545
67,70.81818181818181
68,65.72727272727273
69,104.54545454545455
70,102.0909090909091
71,120.0
72,70.36363636363636
73,98.63636363636364
74,141.63636363636363
75,116.0909090909091
76,79.81818181818181
77,127.54545454545455
78,135.1818181818182
79,132.0909090909091
80,99.18181818181819
81,218.45454545454547
82,119.63636363636364
83,109.72727272727273
84,187.54545454545453
85,165.0
86,137.54545454545453
87,236.9090909090909
88,138.0909090909091
89,187.54545454545453
90,198.0909090909091
91,190.63636363636363
92,233.36363636363637
93,177.27272727272728
94,235.1818181818182
95,192.8181818181818
96,231.0909090909091
97,205.54545454545453
98,251.8181818181818
99,214.36363636363637
100,281.72727272727275
