N,t
2,43.72727272727273
3,64.36363636363636
4,32.54545454545455
5,32.63636363636363
6,14.727272727272727
7,14.272727272727273
8,7.909090909090909
9,14.090909090909092
10,5.909090909090909
11,4.454545454545454
12,5.2727272727272725
13,8.545454545454545
14,9.090909090909092
15,16.272727272727273
16,10.909090909090908
17,10.272727272727273
18,11.636363636363637
19,16.90909090909091
20,9.545454545454545
21,8.727272727272727
22,8.909090909090908
23,11.0
24,13.636363636363637
25,25.181818181818183
26,21.454545454545453
27,42.63636363636363
28,38.09090909090909
29,41.45454545454545
30,45.18181818181818
31,18.181818181818183
32,16.454545454545453
33,25.181818181818183
34,34.36363636363637
35,25.818181818181817
36,21.09090909090909
37,38.81818181818182
38,73.0909090909091
39,96.9090909090909
40,66.36363636363636
41,51.90909090909091
42,52.81818181818182
43,31.727272727272727
44,36.81818181818182
45,45.09090909090909
46,101.72727272727273
47,83.54545454545455
48,56.63636363636363
49,54.72727272727273
50,51.27272727272727
51,53.63636363636363
52,90.9090909090909
53,126.54545454545455
54,71.63636363636364
55,82.81818181818181
56,58.63636363636363
57,141.0909090909091
58,111.0
59,87.18181818181819
60,76.54545454545455
61,114.9090909090909
62,141.1818181818182
63,95.27272727272727
64,93.36363636363636
65,172.1818181818182
66,134.0909090909091
67,106.72727272727273
68,147.45454545454547
69,168.72727272727272
70,107.36363636363636
71,223.27272727272728
72,149.54545454545453
73,148.72727272727272
74,216.36363636363637
75,131.0
76,217.8181818181818
77,187.54545454545453
78,181.72727272727272
79,215.0909090909091
80,171.45454545454547
81,248.63636363636363
82,162.1818181818182
83,260.09090909090907
84,195.0909090909091
85,287.6363636363636
86,171.54545454545453
87,352.8181818181818
88,214.8181818181818
89,290.54545454545456
90,241.8181818181818
91,261.3636363636364
92,309.3636363636364
93,242.27272727272728
94,318.8181818181818
95,324.09090909090907
96,254.1818181818182
97,330.1818181818182
98,324.0
99,275.1818181818182
100,355.90909090909093
