N,t
2,49.18181818181818
3,37.18181818181818
4,23.727272727272727
5,8.818181818181818
6,6.818181818181818
7,8.909090909090908
8,12.090909090909092
9,14.545454545454545
10,7.636363636363637
11,13.818181818181818
12,8.636363636363637
13,15.363636363636363
14,15.818181818181818
15,7.0
16,10.454545454545455
17,7.454545454545454
18,7.909090909090909
19,5.454545454545454
20,5.636363636363637
21,10.363636363636363
22,11.818181818181818
23,39.36363636363637
24,44.81818181818182
25,25.90909090909091
26,31.545454545454547
27,10.0
28,12.363636363636363
29,9.181818181818182
30,12.090909090909092
31,15.454545454545455
32,13.0
33,24.09090909090909
34,16.90909090909091
35,32.0
36,48.54545454545455
37,18.545454545454547
38,43.0
39,35.36363636363637
40,45.36363636363637
41,30.09090909090909
42,89.27272727272727
43,32.45454545454545
44,52.18181818181818
45,28.272727272727273
46,28.363636363636363
47,40.45454545454545
48,56.36363636363637
49,56.18181818181818
50,58.54545454545455
51,59.90909090909091
52,45.72727272727273
53,47.18181818181818
54,57.54545454545455
55,39.0
56,38.90909090909091
57,58.90909090909091
58,101.63636363636364
59,67.45454545454545
60,56.45454545454545
61,59.72727272727273
62,70.81818181818181
63,73.0
64,76.54545454545455
65,92.36363636363636
66,78.81818181818181
67,104.9090909090909
68,76.0
69,98.9090909090909
70,116.0
71,80.54545454545455
72,85.72727272727273
73,95.72727272727273
74,129.36363636363637
75,121.0
76,107.36363636363636
77,133.54545454545453
78,158.27272727272728
79,87.9090909090909
80,126.72727272727273
81,163.0909090909091
82,121.27272727272727
83,119.54545454545455
84,189.8181818181818
85,119.18181818181819
86,143.0
87,201.45454545454547
88,152.54545454545453
89,207.8181818181818
90,168.9090909090909
91,163.8181818181818
92,222.54545454545453
93,175.45454545454547
94,231.63636363636363
95,182.1818181818182
96,250.45454545454547
97,190.0
98,248.0
99,200.27272727272728
100,300.45454545454544
