N,t
2,58.45454545454545
3,55.45454545454545
4,23.272727272727273
5,35.36363636363637
6,21.181818181818183
7,16.09090909090909
8,6.909090909090909
9,5.545454545454546
10,4.181818181818182
11,2.727272727272727
12,6.545454545454546
13,6.636363636363637
14,10.727272727272727
15,7.0
16,9.0
17,5.181818181818182
18,5.363636363636363
19,4.454545454545454
20,6.454545454545454
21,7.0
22,12.545454545454545
23,15.181818181818182
24,4.636363636363637
25,5.0
26,6.181818181818182
27,23.09090909090909
28,6.090909090909091
29,6.090909090909091
30,9.090909090909092
31,10.818181818181818
32,62.0
33,22.272727272727273
34,38.36363636363637
35,23.363636363636363
36,28.09090909090909
37,22.272727272727273
38,21.363636363636363
39,14.181818181818182
40,11.181818181818182
41,12.545454545454545
42,15.727272727272727
43,20.90909090909091
44,26.90909090909091
45,63.18181818181818
46,90.36363636363636
47,45.27272727272727
48,86.81818181818181
49,30.0
50,21.90909090909091
51,21.90909090909091
52,27.272727272727273
53,40.0
54,63.54545454545455
55,68.36363636363636
56,60.90909090909091
57,82.72727272727273
58,33.90909090909091
59,30.818181818181817
60,61.54545454545455
61,49.18181818181818
62,60.72727272727273
63,88.63636363636364
64,94.63636363636364
65,54.63636363636363
66,50.27272727272727
67,58.36363636363637
68,91.9090909090909
69,104.45454545454545
70,81.54545454545455
71,79.72727272727273
72,59.81818181818182
73,105.63636363636364
74,104.54545454545455
75,106.45454545454545
76,88.81818181818181
77,102.54545454545455
78,122.54545454545455
79,110.45454545454545
80,114.81818181818181
81,83.81818181818181
82,140.0909090909091
83,119.36363636363636
84,126.9090909090909
85,124.72727272727273
86,150.27272727272728
87,130.1818181818182
88,120.0
89,175.72727272727272
90,161.45454545454547
91,143.1818181818182
92,190.63636363636363
93,165.9090909090909
94,211.0
95,171.45454545454547
96,176.27272727272728
97,202.9090909090909
98,156.72727272727272
99,237.36363636363637
100,176.45454545454547
