N,S
2,7999999999.999999
3,1.7777777777777777
4,3909090909.090909
5,18272727272.727272
6,62.0
7,11.4
8,9.142857142857144
9,3.090909090909091
10,2.5000000000000004
11,2.606060606060606
12,1.611111111111111
13,2.3902439024390243
14,1.5434782608695652
15,1.3095238095238095
16,1.473684210526316
17,0.9210526315789473
18,1.0833333333333335
19,0.834862385321101
20,1.1929824561403508
21,1.062992125984252
22,0.7913669064748201
23,0.7841726618705035
24,0.5979381443298969
25,0.6981132075471699
26,0.7653061224489797
27,0.5867346938775511
28,0.6431718061674009
29,0.7293577981651377
30,0.6818181818181818
31,0.8313725490196078
32,1.055350553505535
33,1.2437275985663083
34,1.1383647798742138
35,1.2145015105740182
36,1.2724637681159419
37,1.4058823529411764
38,1.1454545454545455
39,0.9867724867724866
40,1.0191846522781773
41,1.1647597254004578
42,1.3887640449438203
43,1.5044052863436124
44,1.3854166666666667
45,1.2664092664092663
46,1.0897196261682243
47,0.8489208633093525
48,0.7573149741824441
49,0.7374392220421394
50,0.7958532695374801
51,0.8205928237129485
52,0.9101796407185629
53,0.9691176470588234
54,0.8622100954979536
55,0.8346666666666666
56,0.7357774968394437
57,0.7777777777777778
58,0.7742663656884876
59,0.8568181818181818
60,0.8844492440604751
61,0.927427961579509
62,0.8048533872598584
63,0.8015717092337918
64,0.8376383763837638
65,0.9483695652173914
66,0.9016253207869974
67,0.7614297589359933
68,0.8432601880877743
69,0.8456742010911925
70,0.834575260804769
71,0.8505830903790087
72,0.8611500701262274
73,0.8057877813504822
74,0.8500960922485586
75,0.846583850931677
76,0.8364817001180638
77,0.7625
78,0.8286808976464148
79,0.7792068595927117
80,0.7625452664252458
81,0.81563126252505
82,0.775047258979206
83,0.7324521422060164
84,0.788266431407146
85,0.7615780445969126
86,0.7152693398136897
87,0.7603795966785291
88,0.75622283682339
89,0.776355421686747
90,0.7849981433345712
91,0.7381703470031546
92,0.7965924895688457
93,0.7480501865038997
94,0.799009900990099
95,0.7324617346938777
96,0.8075957313245449
97,0.7578979343863913
98,0.797997644287397
99,0.7589388696655134
100,0.7651117858128622
