N,t
2,1.5454545454545454
3,0.18181818181818182
4,0.8181818181818182
5,1.0909090909090908
6,1.0909090909090908
7,1.1818181818181819
8,3.6363636363636362
9,2.0
10,3.0
11,3.4545454545454546
12,2.727272727272727
13,4.909090909090909
14,4.363636363636363
15,3.727272727272727
16,6.2727272727272725
17,5.090909090909091
18,6.0
19,6.090909090909091
20,6.0
21,6.909090909090909
22,7.636363636363637
23,9.0
24,9.727272727272727
25,11.090909090909092
26,13.545454545454545
27,16.09090909090909
28,20.818181818181817
29,20.90909090909091
30,17.90909090909091
31,16.727272727272727
32,18.363636363636363
33,24.272727272727273
34,30.363636363636363
35,33.45454545454545
36,30.727272727272727
37,30.363636363636363
38,31.636363636363637
39,37.63636363636363
40,42.63636363636363
41,49.09090909090909
42,53.90909090909091
43,58.72727272727273
44,66.0909090909091
45,58.81818181818182
46,59.63636363636363
47,65.54545454545455
48,64.36363636363636
49,56.90909090909091
50,53.18181818181818
51,46.18181818181818
52,50.0
53,61.09090909090909
54,72.0
55,71.0
56,73.81818181818181
57,69.9090909090909
58,73.54545454545455
59,78.63636363636364
60,88.18181818181819
61,89.9090909090909
62,90.0909090909091
63,88.9090909090909
64,93.0
65,97.63636363636364
66,109.0909090909091
67,101.63636363636364
68,107.9090909090909
69,115.63636363636364
70,125.36363636363636
71,119.36363636363636
72,121.54545454545455
73,141.45454545454547
74,135.72727272727272
75,136.0
76,160.8181818181818
77,152.72727272727272
78,155.63636363636363
79,186.1818181818182
80,171.8181818181818
81,190.72727272727272
82,193.45454545454547
83,192.8181818181818
84,223.27272727272728
85,203.72727272727272
86,232.0909090909091
87,216.45454545454547
88,250.72727272727272
89,234.0
90,253.9090909090909
91,260.45454545454544
92,266.0
93,286.45454545454544
94,274.90909090909093
95,294.6363636363636
96,315.45454545454544
97,300.1818181818182
98,321.27272727272725
99,345.45454545454544
100,348.3636363636364
