N,t
2,131.8181818181818
3,86.81818181818181
4,58.72727272727273
5,66.63636363636364
6,69.81818181818181
7,101.18181818181819
8,104.81818181818181
9,93.36363636363636
10,96.36363636363636
11,100.9090909090909
12,109.54545454545455
13,100.36363636363636
14,80.18181818181819
15,69.36363636363636
16,64.36363636363636
17,64.54545454545455
18,72.72727272727273
19,64.0
20,64.27272727272727
21,66.18181818181819
22,65.0909090909091
23,70.36363636363636
24,70.63636363636364
25,63.36363636363637
26,63.63636363636363
27,69.0
28,68.81818181818181
29,68.9090909090909
30,72.63636363636364
31,68.9090909090909
32,70.72727272727273
33,74.72727272727273
34,74.9090909090909
35,77.27272727272727
36,80.36363636363636
37,74.9090909090909
38,76.0909090909091
39,85.27272727272727
40,83.27272727272727
41,85.9090909090909
42,84.0
43,81.45454545454545
44,91.81818181818181
45,92.81818181818181
46,92.63636363636364
47,89.72727272727273
48,93.18181818181819
49,103.36363636363636
50,100.18181818181819
51,106.72727272727273
52,99.27272727272727
53,105.63636363636364
54,109.18181818181819
55,109.18181818181819
56,107.81818181818181
57,120.72727272727273
58,124.72727272727273
59,119.72727272727273
60,120.9090909090909
61,135.0
62,132.27272727272728
63,124.45454545454545
64,139.1818181818182
65,141.72727272727272
66,143.8181818181818
67,145.9090909090909
68,151.9090909090909
69,149.0909090909091
70,154.8181818181818
71,165.54545454545453
72,166.27272727272728
73,173.72727272727272
74,169.45454545454547
75,174.27272727272728
76,181.36363636363637
77,182.63636363636363
78,193.8181818181818
79,206.54545454545453
80,206.63636363636363
81,210.45454545454547
82,260.27272727272725
83,238.8181818181818
84,238.8181818181818
85,241.72727272727272
86,241.8181818181818
87,230.63636363636363
88,234.9090909090909
89,258.90909090909093
90,257.90909090909093
91,254.9090909090909
92,251.45454545454547
93,255.36363636363637
94,267.27272727272725
95,264.09090909090907
96,284.8181818181818
97,284.90909090909093
98,299.8181818181818
99,292.6363636363636
100,295.54545454545456
