chunk size,t
1,154.72727272727272
2,97.54545454545455
3,104.36363636363636
4,115.63636363636364
5,112.81818181818181
6,95.81818181818181
7,111.72727272727273
8,117.81818181818181
9,110.18181818181819
10,103.9090909090909
11,100.54545454545455
12,101.54545454545455
13,126.0909090909091
14,104.54545454545455
15,95.0909090909091
16,124.9090909090909
17,99.81818181818181
18,104.27272727272727
19,111.45454545454545
20,100.9090909090909
21,126.54545454545455
22,100.72727272727273
23,98.72727272727273
24,110.36363636363636
25,105.36363636363636
26,127.0
27,117.0
28,108.81818181818181
29,123.36363636363636
30,108.27272727272727
31,85.72727272727273
32,99.72727272727273
33,132.36363636363637
34,110.36363636363636
35,94.0909090909091
36,111.9090909090909
37,119.81818181818181
38,118.27272727272727
39,88.9090909090909
40,124.72727272727273
41,128.0909090909091
42,98.9090909090909
43,86.18181818181819
44,116.0909090909091
45,137.27272727272728
46,112.81818181818181
47,111.9090909090909
48,127.45454545454545
49,122.36363636363636
50,93.45454545454545
51,105.18181818181819
52,143.0909090909091
53,172.9090909090909
54,94.0909090909091
55,101.9090909090909
56,141.36363636363637
57,107.0909090909091
58,98.0
59,130.0
60,153.1818181818182
61,104.9090909090909
62,103.0909090909091
63,117.45454545454545
64,137.54545454545453
65,104.54545454545455
66,104.36363636363636
67,142.36363636363637
68,98.0909090909091
69,105.63636363636364
70,113.54545454545455
71,125.36363636363636
72,110.72727272727273
73,120.72727272727273
74,137.54545454545453
75,111.63636363636364
76,108.0
77,182.8181818181818
78,110.27272727272727
79,98.81818181818181
80,162.1818181818182
81,135.72727272727272
82,82.72727272727273
83,146.1818181818182
84,112.36363636363636
85,123.54545454545455
86,102.18181818181819
87,139.54545454545453
88,126.0
89,123.36363636363636
90,115.9090909090909
91,124.63636363636364
92,139.54545454545453
93,92.9090909090909
94,100.72727272727273
95,155.1818181818182
96,102.0909090909091
97,119.0
98,123.18181818181819
99,129.1818181818182
100,99.27272727272727
101,111.72727272727273
102,136.8181818181818
103,110.0909090909091
104,130.8181818181818
105,116.45454545454545
106,148.36363636363637
107,149.63636363636363
108,113.36363636363636
109,128.1818181818182
110,125.9090909090909
111,96.81818181818181
112,120.9090909090909
113,120.9090909090909
114,130.27272727272728
115,96.36363636363636
116,97.36363636363636
117,144.1818181818182
118,115.0
119,92.0
120,107.0909090909091
121,156.0
122,112.27272727272727
123,104.45454545454545
124,136.72727272727272
125,102.72727272727273
126,113.72727272727273
127,111.63636363636364
128,129.72727272727272
