N,E
2,0.0
3,0.05487804878048781
4,0.0
5,0.0
6,0.0036496350364963502
7,0.026041666666666668
8,0.03932584269662921
9,0.14473684210526316
10,0.16129032258064516
11,0.21710526315789475
12,0.21951219512195125
13,0.29285714285714287
14,0.4791666666666667
15,0.3230769230769231
16,0.41911764705882354
17,0.4810126582278481
18,0.3870967741935483
19,0.4954545454545454
20,0.7037037037037037
21,0.8698630136986301
22,0.6495327102803738
23,0.9788732394366199
24,1.1975308641975309
25,0.6737288135593221
26,0.8376068376068375
27,0.9074074074074073
28,0.9153225806451613
29,0.7517241379310344
30,0.7378048780487805
31,0.5821917808219178
32,0.3938953488372093
33,0.46812080536912754
34,0.5
35,0.3884976525821596
36,0.34500000000000003
37,0.3648068669527897
38,0.3767123287671233
39,0.3461538461538462
40,0.49524940617577196
41,0.5105140186915889
42,0.45781893004115226
43,0.443359375
44,0.41237113402061853
45,0.4923954372623574
46,0.3815977175463623
47,0.43573667711598746
48,0.5707269155206287
49,0.673580786026201
50,0.5638489208633093
51,0.5913284132841329
52,0.5566666666666666
53,0.5546492659053834
54,0.5892282958199357
55,0.5778120184899846
56,0.6160436137071651
57,0.585
58,0.6457725947521865
59,0.5962059620596206
60,0.6198125836680054
61,0.5798267326732673
62,0.6089901477832512
63,0.5967174677608441
64,0.615909090909091
65,0.6258503401360543
66,0.6152631578947368
67,0.6311647429171038
68,0.6483739837398375
69,0.624634858812074
70,0.6527237354085603
71,0.6276303751143641
72,0.6464188576609248
73,0.6473771856786011
74,0.6455748552522746
75,0.644515612489992
76,0.6581196581196581
77,0.6523350630096367
78,0.6492537313432836
79,0.6621717530163236
80,0.6490933512424445
81,0.656578947368421
82,0.6666666666666666
83,0.6903713027061045
84,0.6636416861826697
85,0.6887182516243355
86,0.6862145636464704
87,0.6690476190476191
88,0.6499743194658449
89,0.7071352502662408
90,0.6702339472374316
91,0.6928120446818844
92,0.6465827338129496
93,0.6708371246587806
94,0.6712450155073105
95,0.6844172850283718
96,0.6542094455852155
97,0.6821384169084127
98,0.6716772151898734
99,0.6563209689629068
100,0.6784644194756555
