N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.25,0.05487804878048781,0.007317073170731708,0.0030612244897959186,0.00178394449950446,0.0015576323987538943,0.0009920634920634922,0.0007817929117442669
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1,0.0036496350364963502,0.003546099290780142,0.0013736263736263735,0.0003058103975535168,0.00021394950791613182,0.00021353833013025838,0.00017146776406035667
7,0.5,0.026041666666666668,0.013774104683195593,0.006544502617801047,0.00099601593625498,0.0007303534910896872,0.0006131207847946045,0.0005378657487091222
8,0.5384615384615384,0.03932584269662921,0.015151515151515152,0.024647887323943664,0.0013712047012732615,0.0010842627013630732,0.0008333333333333333,0.0006955484896661368
9,1.5714285714285714,0.14473684210526316,0.07560137457044673,0.07236842105263158,0.004288499025341131,0.003714961161769672,0.002783753005187903,0.002393385552654482
10,1.1764705882352942,0.16129032258064516,0.04694835680751174,0.028409090909090908,0.0036036036036036037,0.003387533875338753,0.0022062879205736346,0.001816860465116279
11,1.9411764705882353,0.21710526315789475,0.05213270142180094,0.11956521739130435,0.006267806267806267,0.005087881591119334,0.0030552726599388943,0.002657860824742268
12,1.6363636363636365,0.21951219512195125,0.31578947368421056,0.2647058823529412,0.005916187345932621,0.004796163069544365,0.004140786749482402,0.003496503496503497
13,1.5769230769230766,0.29285714285714287,0.31782945736434104,0.16532258064516128,0.0072183098591549295,0.006627869382476559,0.004785247432306255,0.004999999999999999
14,1.5333333333333334,0.4791666666666667,0.2072072072072072,0.19491525423728814,0.00951396070320579,0.008518518518518519,0.008265947888589397,0.0068944844124700245
15,1.2352941176470589,0.3230769230769231,0.4375,0.12209302325581396,0.011864406779661019,0.007650273224043716,0.008746355685131196,0.006465517241379311
16,1.2127659574468086,0.41911764705882354,0.5,0.07960893854748603,0.019031719532554257,0.011473429951690822,0.010644257703081233,0.008431952662721894
17,1.6521739130434783,0.4810126582278481,0.6666666666666666,0.32758620689655177,0.025207296849087894,0.017617060732498843,0.012879173021521776,0.011874999999999998
18,1.6271186440677965,0.3870967741935483,0.7619047619047619,0.06575342465753424,0.024583866837387964,0.019728729963008628,0.01668404588112617,0.016415868673050615
19,1.9818181818181817,0.4954545454545454,0.8257575757575757,0.21124031007751937,0.02534883720930232,0.02314225053078556,0.021900743419730757,0.01758064516129032
20,1.7272727272727273,0.7037037037037037,0.7307692307692307,0.24782608695652172,0.027906976744186046,0.026760563380281686,0.022777222777222775,0.018799472295514513
21,2.189655172413793,0.8698630136986301,0.7987421383647798,0.09921875,0.03713450292397661,0.028720036182722748,0.024287626697265252,0.02080602883355177
22,1.9305555555555556,0.6495327102803738,0.4100294985250737,0.02800161160354553,0.044911147011308564,0.03008658008658009,0.024977538185085357,0.023043766578249338
23,1.9305555555555556,0.9788732394366199,0.47766323024054985,0.10659509202453987,0.04199395770392749,0.03347784200385357,0.025788497217068645,0.022390463917525773
24,2.4556962025316458,1.1975308641975309,0.306477093206951,0.20726495726495725,0.05180240320427236,0.04453627180899908,0.03637045369328834,0.0318241469816273
25,1.6060606060606062,0.6737288135593221,0.212,0.07514177693761814,0.0412987012987013,0.037219101123595506,0.029887218045112785,0.0265
26,1.7981651376146788,0.8376068376068375,0.5064599483204134,0.07010014306151645,0.04827586206896552,0.04225959465286761,0.035668789808917196,0.03173575129533678
27,1.5076923076923074,0.9074074074074073,0.4666666666666666,0.04390681003584229,0.05226666666666666,0.04343971631205674,0.036939313984168866,0.031984334203655346
28,1.5547945205479452,0.9153225806451613,0.5820512820512821,0.06591173054587689,0.07017001545595054,0.047950992817912964,0.043180521209815484,0.03628516624040921
29,1.4437086092715232,0.7517241379310344,0.42998027613412226,0.1184782608695652,0.06123595505617977,0.03988291255031101,0.04086989126359205,0.03466921119592875
30,1.2872340425531916,0.7378048780487805,0.21801801801801804,0.054701627486437615,0.06540540540540542,0.0439360929557008,0.04548872180451128,0.038002512562814075
31,1.275,0.5821917808219178,0.1556776556776557,0.08817427385892115,0.06589147286821706,0.043589743589743594,0.04593766888848856,0.04050190597204575
32,1.2044444444444444,0.3938953488372093,0.18360433604336043,0.08630573248407644,0.06194285714285715,0.049963126843657814,0.04597896165592128,0.04223815461346633
33,1.3949999999999998,0.46812080536912754,0.11204819277108434,0.2518050541516245,0.06611374407582937,0.05863808322824716,0.04802065404475043,0.04321561338289963
