N,t
2,72.0
3,42.36363636363637
4,37.36363636363637
5,56.54545454545455
6,34.90909090909091
7,13.272727272727273
8,4.545454545454546
9,19.363636363636363
10,4.0
11,6.363636363636363
12,2.4545454545454546
13,11.818181818181818
14,16.90909090909091
15,3.4545454545454546
16,6.363636363636363
17,6.0
18,11.909090909090908
19,48.90909090909091
20,41.09090909090909
21,54.90909090909091
22,18.363636363636363
23,24.727272727272727
24,77.54545454545455
25,57.18181818181818
26,19.272727272727273
27,46.0
28,28.636363636363637
29,37.81818181818182
30,49.90909090909091
31,44.18181818181818
32,81.0
33,59.45454545454545
34,20.0
35,21.181818181818183
36,28.363636363636363
37,18.363636363636363
38,20.272727272727273
39,54.72727272727273
40,37.45454545454545
41,16.727272727272727
42,28.181818181818183
43,22.09090909090909
44,34.72727272727273
45,32.0
46,43.18181818181818
47,46.81818181818182
48,44.72727272727273
49,32.72727272727273
50,30.272727272727273
51,37.72727272727273
52,26.454545454545453
53,31.0
54,43.63636363636363
55,64.27272727272727
56,36.36363636363637
57,49.45454545454545
58,90.45454545454545
59,40.09090909090909
60,58.90909090909091
61,39.90909090909091
62,66.27272727272727
63,78.27272727272727
64,74.0909090909091
65,91.27272727272727
66,62.90909090909091
67,65.0
68,87.81818181818181
69,119.45454545454545
70,68.63636363636364
71,50.36363636363637
72,80.18181818181819
73,95.9090909090909
74,130.0
75,83.36363636363636
76,69.0909090909091
77,106.0
78,147.9090909090909
79,113.27272727272727
80,74.27272727272727
81,140.63636363636363
82,137.36363636363637
83,101.45454545454545
84,107.36363636363636
85,144.0
86,153.72727272727272
87,93.9090909090909
88,156.63636363636363
89,178.1818181818182
90,119.0
91,175.0
92,180.36363636363637
93,147.8181818181818
94,207.1818181818182
95,137.0
96,201.0
97,184.0
98,195.27272727272728
99,201.0
100,200.0
