N,t
2,64.27272727272727
3,43.81818181818182
4,35.63636363636363
5,30.0
6,21.727272727272727
7,23.636363636363637
8,22.09090909090909
9,17.545454545454547
10,8.545454545454545
11,9.636363636363637
12,11.727272727272727
13,8.090909090909092
14,11.545454545454545
15,48.54545454545455
16,18.636363636363637
17,11.545454545454545
18,9.909090909090908
19,33.81818181818182
20,8.363636363636363
21,8.545454545454545
22,8.272727272727273
23,13.090909090909092
24,17.09090909090909
25,46.09090909090909
26,16.09090909090909
27,29.90909090909091
28,14.454545454545455
29,30.636363636363637
30,34.09090909090909
31,40.18181818181818
32,32.54545454545455
33,56.0
34,34.18181818181818
35,28.272727272727273
36,35.81818181818182
37,53.27272727272727
38,61.90909090909091
39,78.63636363636364
40,68.45454545454545
41,55.54545454545455
42,48.36363636363637
43,58.27272727272727
44,39.72727272727273
45,50.81818181818182
46,65.0909090909091
47,102.45454545454545
48,52.54545454545455
49,67.0
50,53.63636363636363
51,57.27272727272727
52,110.72727272727273
53,74.9090909090909
54,68.0
55,96.54545454545455
56,77.27272727272727
57,103.72727272727273
58,137.72727272727272
59,77.27272727272727
60,79.63636363636364
61,100.27272727272727
62,150.36363636363637
63,89.45454545454545
64,93.0909090909091
65,141.63636363636363
66,134.63636363636363
67,105.63636363636364
68,104.45454545454545
69,206.72727272727272
70,107.81818181818181
71,172.63636363636363
72,192.63636363636363
73,157.1818181818182
74,231.63636363636363
75,128.72727272727272
76,168.9090909090909
77,216.0909090909091
78,152.36363636363637
79,267.1818181818182
80,147.63636363636363
81,232.0
82,190.8181818181818
83,224.72727272727272
84,219.36363636363637
85,220.45454545454547
86,246.54545454545453
87,273.0
88,218.8181818181818
89,335.3636363636364
90,222.8181818181818
91,288.8181818181818
92,267.45454545454544
93,289.8181818181818
94,313.72727272727275
95,287.90909090909093
96,305.09090909090907
97,323.90909090909093
98,304.6363636363636
99,301.90909090909093
100,458.90909090909093
