N,t
2,66.36363636363636
3,52.63636363636363
4,14.909090909090908
5,16.90909090909091
6,16.818181818181817
7,3.909090909090909
8,2.909090909090909
9,3.727272727272727
10,3.272727272727273
11,14.545454545454545
12,12.727272727272727
13,5.090909090909091
14,6.7272727272727275
15,5.2727272727272725
16,9.818181818181818
17,14.545454545454545
18,3.909090909090909
19,6.7272727272727275
20,6.0
21,14.727272727272727
22,9.363636363636363
23,6.7272727272727275
24,11.363636363636363
25,14.0
26,30.363636363636363
27,17.181818181818183
28,14.181818181818182
29,52.27272727272727
30,20.545454545454547
31,43.27272727272727
32,17.818181818181817
33,10.363636363636363
34,10.363636363636363
35,12.636363636363637
36,27.272727272727273
37,16.727272727272727
38,38.63636363636363
39,27.545454545454547
40,18.727272727272727
41,39.18181818181818
42,53.18181818181818
43,52.27272727272727
44,40.81818181818182
45,45.27272727272727
46,66.36363636363636
47,32.0
48,29.636363636363637
49,28.181818181818183
50,42.63636363636363
51,68.36363636363636
52,57.18181818181818
53,69.63636363636364
54,70.9090909090909
55,51.27272727272727
56,37.18181818181818
57,48.54545454545455
58,80.0909090909091
59,65.0909090909091
60,95.27272727272727
61,69.81818181818181
62,59.18181818181818
63,60.81818181818182
64,88.81818181818181
65,90.81818181818181
66,87.45454545454545
67,94.72727272727273
68,88.54545454545455
69,104.0
70,82.18181818181819
71,105.54545454545455
72,116.45454545454545
73,102.72727272727273
74,101.27272727272727
75,113.0909090909091
76,133.63636363636363
77,147.72727272727272
78,117.54545454545455
79,127.63636363636364
80,119.63636363636364
81,164.9090909090909
82,134.63636363636363
83,165.27272727272728
84,140.9090909090909
85,148.72727272727272
86,163.36363636363637
87,179.9090909090909
88,190.63636363636363
89,188.9090909090909
90,215.45454545454547
91,152.27272727272728
92,218.1818181818182
93,184.1818181818182
94,222.0909090909091
95,189.27272727272728
96,212.54545454545453
97,207.27272727272728
98,221.1818181818182
99,235.54545454545453
100,236.8181818181818
