N,t
2,52.63636363636363
3,56.45454545454545
4,54.90909090909091
5,15.090909090909092
6,42.90909090909091
7,7.7272727272727275
8,4.181818181818182
9,4.909090909090909
10,9.818181818181818
11,16.90909090909091
12,12.363636363636363
13,14.363636363636363
14,2.090909090909091
15,3.272727272727273
16,3.909090909090909
17,7.181818181818182
18,15.0
19,9.090909090909092
20,6.181818181818182
21,3.909090909090909
22,4.0
23,4.363636363636363
24,8.909090909090908
25,14.363636363636363
26,7.454545454545454
27,7.181818181818182
28,9.727272727272727
29,10.454545454545455
30,27.90909090909091
31,45.09090909090909
32,39.45454545454545
33,20.454545454545453
34,18.818181818181817
35,8.909090909090908
36,10.0
37,15.909090909090908
38,31.90909090909091
39,13.454545454545455
40,18.363636363636363
41,18.636363636363637
42,17.363636363636363
43,19.636363636363637
44,22.90909090909091
45,48.36363636363637
46,93.36363636363636
47,57.45454545454545
48,59.45454545454545
49,27.181818181818183
50,25.454545454545453
51,48.0
52,32.54545454545455
53,29.90909090909091
54,53.72727272727273
55,25.545454545454547
56,73.63636363636364
57,76.9090909090909
58,42.90909090909091
59,44.81818181818182
60,48.09090909090909
61,40.90909090909091
62,70.0909090909091
63,57.81818181818182
64,93.45454545454545
65,69.72727272727273
66,62.36363636363637
67,83.27272727272727
68,94.45454545454545
69,62.27272727272727
70,91.63636363636364
71,90.27272727272727
72,91.9090909090909
73,78.0
74,78.36363636363636
75,98.81818181818181
76,120.0
77,90.27272727272727
78,120.36363636363636
79,131.0909090909091
80,97.27272727272727
81,108.63636363636364
82,122.63636363636364
83,111.0
84,125.45454545454545
85,141.1818181818182
86,146.54545454545453
87,147.63636363636363
88,129.9090909090909
89,158.0909090909091
90,165.27272727272728
91,143.54545454545453
92,197.72727272727272
93,157.9090909090909
94,170.0
95,204.54545454545453
96,190.0
97,180.27272727272728
98,204.36363636363637
99,189.36363636363637
100,210.1818181818182
