N,S
2,105363636363.63635
3,81.66666666666666
4,11545454545.454544
5,7363636363.636363
6,182.0
7,38.2
8,10.142857142857142
9,3.4545454545454546
10,8.8
11,2.090909090909091
12,0.9444444444444443
13,1.5121951219512197
14,1.2826086956521738
15,2.0476190476190474
16,3.140350877192983
17,0.763157894736842
18,3.8020833333333335
19,1.18348623853211
20,1.0087719298245614
21,2.5196850393700787
22,8.928057553956833
23,2.3453237410071943
24,1.2061855670103092
25,3.3270440251572326
26,3.5663265306122454
27,5.6938775510204085
28,3.7929515418502198
29,2.1100917431192663
30,4.570247933884297
31,2.835294117647059
32,2.8966789667896675
33,0.992831541218638
34,1.2547169811320755
35,0.7280966767371602
36,0.518840579710145
37,0.6235294117647059
38,0.8571428571428571
39,0.5158730158730158
40,1.1630695443645085
41,1.17162471395881
42,0.8202247191011236
43,1.0154185022026432
44,0.7479166666666667
45,0.5617760617760618
46,0.5476635514018692
47,0.6169064748201439
48,0.5714285714285714
49,0.7163695299837924
50,0.5151515151515151
51,0.8190327613104524
52,0.8023952095808383
53,1.0294117647058822
54,1.2810368349249657
55,0.6693333333333332
56,0.695322376738306
57,0.442002442002442
58,0.45936794582392776
59,0.7454545454545454
60,0.9395248380129589
61,0.8783351120597651
62,0.756319514661274
63,0.6159135559921415
64,0.5710332103321033
65,0.552536231884058
66,0.9366980325064158
67,1.3075644222776392
68,0.5478056426332288
69,0.5752143413873734
70,0.6639344262295082
71,0.9475218658892128
72,0.7720897615708275
73,0.4983922829581993
74,0.7046764894298527
75,0.7211180124223602
76,0.8972845336481701
77,0.6664772727272728
78,0.6004378762999453
79,0.9335476956055735
80,0.6549405069839628
81,0.6052104208416833
82,0.7655954631379962
83,0.8623518687329079
84,0.7728275253639171
85,0.7958833619210978
86,0.6277845281490482
87,0.6710162119414789
88,0.8095614381667325
89,0.6814759036144578
90,0.6550315633122912
91,0.6628110760602873
92,0.6999304589707928
93,0.7249915225500171
94,0.7429042904290429
95,0.6881377551020409
96,0.7033898305084746
97,0.6427703523693804
98,0.7641342756183745
99,0.6513840830449827
100,0.619100193210047
