N,t
2,0.09090909090909091
3,0.36363636363636365
4,0.0
5,0.2727272727272727
6,0.9090909090909091
7,0.9090909090909091
8,1.1818181818181819
9,1.2727272727272727
10,1.5454545454545454
11,1.5454545454545454
12,2.0
13,2.3636363636363638
14,2.727272727272727
15,3.090909090909091
16,4.2727272727272725
17,4.181818181818182
18,5.363636363636363
19,5.0
20,6.0
21,5.2727272727272725
22,6.545454545454546
23,6.545454545454546
24,7.181818181818182
25,9.0
26,9.909090909090908
27,11.818181818181818
28,13.272727272727273
29,13.727272727272727
30,17.09090909090909
31,18.181818181818183
32,20.454545454545453
33,18.181818181818183
34,17.181818181818183
35,20.454545454545453
36,21.636363636363637
37,21.727272727272727
38,23.727272727272727
39,24.272727272727273
40,26.09090909090909
41,26.272727272727273
42,29.09090909090909
43,30.363636363636363
44,35.63636363636363
45,37.09090909090909
46,38.81818181818182
47,38.90909090909091
48,42.18181818181818
49,46.81818181818182
50,53.54545454545455
51,58.72727272727273
52,52.0
53,58.0
54,62.45454545454545
55,66.72727272727273
56,66.0909090909091
57,67.18181818181819
58,75.0
59,85.63636363636364
60,81.18181818181819
61,81.45454545454545
62,91.81818181818181
63,89.27272727272727
64,102.81818181818181
65,97.18181818181819
66,104.54545454545455
67,105.27272727272727
68,118.81818181818181
69,112.72727272727273
70,122.63636363636364
71,120.9090909090909
72,139.0
73,132.72727272727272
74,140.0909090909091
75,154.0
76,149.54545454545453
77,153.63636363636363
78,170.27272727272728
79,169.0909090909091
80,180.1818181818182
81,179.63636363636363
82,186.63636363636363
83,196.72727272727272
84,200.8181818181818
85,211.1818181818182
86,220.9090909090909
87,224.45454545454547
88,230.72727272727272
89,239.0
90,247.45454545454547
91,257.45454545454544
92,264.45454545454544
93,273.0
94,284.90909090909093
95,285.72727272727275
96,298.0
97,301.8181818181818
98,315.3636363636364
99,321.72727272727275
100,351.90909090909093
