N,t
2,105.36363636363636
3,66.81818181818181
4,11.545454545454545
5,7.363636363636363
6,16.545454545454547
7,17.363636363636363
8,6.454545454545454
9,6.909090909090909
10,16.0
11,6.2727272727272725
12,3.090909090909091
13,5.636363636363637
14,5.363636363636363
15,7.818181818181818
16,16.272727272727273
17,5.2727272727272725
18,33.18181818181818
19,11.727272727272727
20,10.454545454545455
21,29.09090909090909
22,112.81818181818181
23,29.636363636363637
24,21.272727272727273
25,48.09090909090909
26,63.54545454545455
27,101.45454545454545
28,78.27272727272727
29,41.81818181818182
30,100.54545454545455
31,65.72727272727273
32,71.36363636363636
33,25.181818181818183
34,36.27272727272727
35,21.90909090909091
36,16.272727272727273
37,19.272727272727273
38,30.0
39,17.727272727272727
40,44.09090909090909
41,46.54545454545455
42,33.18181818181818
43,41.90909090909091
44,32.63636363636363
45,26.454545454545453
46,26.636363636363637
47,31.181818181818183
48,30.181818181818183
49,40.18181818181818
50,29.363636363636363
51,47.72727272727273
52,48.72727272727273
53,63.63636363636363
54,85.36363636363636
55,45.63636363636363
56,50.0
57,32.90909090909091
58,37.0
59,59.63636363636363
60,79.0909090909091
61,74.81818181818181
62,68.0
63,57.0
64,56.27272727272727
65,55.45454545454545
66,99.54545454545455
67,143.0
68,63.54545454545455
69,67.0909090909091
70,81.0
71,118.18181818181819
72,100.0909090909091
73,70.45454545454545
74,100.0
75,105.54545454545455
76,138.1818181818182
77,106.63636363636364
78,99.72727272727273
79,158.36363636363637
80,115.0909090909091
81,109.81818181818181
82,147.27272727272728
83,172.0
84,159.27272727272728
85,168.72727272727272
86,140.9090909090909
87,154.27272727272728
88,186.27272727272728
89,164.54545454545453
90,160.36363636363637
91,171.9090909090909
92,183.0
93,194.36363636363637
94,204.63636363636363
95,196.1818181818182
96,203.72727272727272
97,192.36363636363637
98,235.9090909090909
99,205.36363636363637
100,203.9090909090909
