N,Строки и столбцы,Только строки
2,73.76470588235294,29.470588235294116
3,83.23529411764706,19.11764705882353
4,64.88235294117646,21.470588235294116
5,78.82352941176471,22.352941176470587
6,93.23529411764706,23.470588235294116
7,126.76470588235294,24.647058823529413
8,152.05882352941174,25.11764705882353
9,173.05882352941177,25.058823529411764
10,195.11764705882354,25.470588235294116
11,195.8235294117647,24.823529411764707
12,162.0,26.41176470588235
13,163.94117647058823,26.352941176470587
14,173.05882352941177,27.058823529411764
15,175.8235294117647,28.705882352941178
16,179.0,28.235294117647058
17,188.35294117647058,28.41176470588235
18,202.05882352941177,32.76470588235294
19,213.41176470588235,33.411764705882355
20,225.41176470588235,37.8235294117647
21,235.11764705882354,40.11764705882353
22,252.41176470588235,42.588235294117645
23,262.11764705882354,43.529411764705884
24,276.05882352941177,49.76470588235294
25,285.1764705882353,50.05882352941177
26,304.8235294117647,54.11764705882353
27,314.2352941176471,76.11764705882354
28,328.94117647058823,63.23529411764706
29,344.11764705882354,76.82352941176471
30,359.88235294117646,76.3529411764706
31,370.1764705882353,77.76470588235294
32,387.3529411764706,79.82352941176471
33,400.3529411764706,85.6470588235294
34,420.1764705882353,93.94117647058823
35,424.8235294117647,101.41176470588235
36,449.8235294117647,106.76470588235294
37,469.70588235294116,108.52941176470588
38,488.5882352941176,119.58823529411765
39,490.70588235294116,120.6470588235294
40,517.0,129.41176470588235
41,526.1764705882352,130.52941176470588
42,538.0588235294117,143.8823529411765
43,551.2941176470589,156.05882352941177
44,574.8823529411765,165.05882352941177
45,587.0588235294117,163.52941176470588
46,605.5882352941177,176.41176470588235
47,608.5882352941177,206.7058823529412
48,630.7058823529412,188.2941176470588
49,639.5294117647059,193.23529411764707
50,659.7058823529412,208.2941176470588
51,670.2941176470588,238.1764705882353
52,687.4117647058823,216.7058823529412
53,699.9411764705883,221.52941176470588
54,732.7647058823529,259.7647058823529
55,741.1764705882352,238.1764705882353
56,751.5882352941177,314.4117647058824
57,772.4117647058823,254.0
58,815.9411764705883,385.47058823529414
59,809.7058823529412,346.1764705882353
60,834.2352941176471,296.1764705882353
61,864.5882352941177,348.52941176470586
62,879.8235294117648,308.4117647058824
63,884.8235294117648,323.05882352941177
64,913.4117647058823,389.0
65,936.2352941176471,343.2352941176471
66,958.8823529411765,360.70588235294116
67,978.4117647058823,366.1764705882353
68,1009.3529411764706,381.47058823529414
69,1021.7058823529412,388.47058823529414
70,1050.3529411764705,409.52941176470586
71,1069.2941176470588,521.0588235294117
72,1092.4705882352941,473.88235294117646
73,1108.2941176470588,472.11764705882354
74,1134.764705882353,475.4117647058824
75,1154.8823529411764,478.88235294117646
76,1171.7647058823532,487.94117647058823
77,1213.1764705882354,632.8235294117648
78,1236.1176470588234,569.2352941176472
79,1247.5294117647059,535.8823529411765
80,1267.764705882353,554.1764705882352
81,1287.4117647058822,699.0
82,1338.235294117647,576.8823529411765
83,1345.8823529411766,580.8823529411765
84,1384.6470588235293,609.9411764705883
85,1402.0588235294117,611.8235294117648
86,1424.6470588235295,638.3529411764706
87,1434.0,640.0588235294118
88,1484.8235294117646,671.2941176470588
89,1484.5294117647059,674.1176470588235
90,1542.6470588235295,825.2941176470588
91,1551.0,721.5882352941177
92,1569.5294117647059,750.2941176470588
93,1598.2941176470588,827.8235294117648
94,1641.235294117647,871.3529411764706
95,1654.9411764705883,781.6470588235294
96,1685.1176470588234,813.8823529411765
97,1710.1764705882354,958.0
98,1747.4705882352941,844.5882352941177
99,1778.5882352941176,1008.0588235294117
100,1816.8823529411766,1038.8823529411768
