N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0014011373938844476,0.0009504640500950465,0.0006169479223371439,0.0003946513139567277,0.00026668758333986983,0.00021846968411853905,0.00020710996320752418,0.00018902330546166163
5,0.002306648575305292,0.0017076845806127574,0.001022126022126022,0.0006344230482161517,0.00038088836610093545,0.00030810497317674347,0.0002846927411724317,0.0002557006196979725
6,0.0029251505592199595,0.002113201292781967,0.001457975986277873,0.0008054836060395477,0.0004956027403916233,0.0004101524802161744,0.00035899060289304186,0.0003035858850421448
7,0.0014342965619067707,0.001177040781001177,0.0008068152155857716,0.0003610875106202209,0.0002909090909090909,0.00025141606400757205,0.0002148702878629886,0.00017723102585487905
8,0.006576402321083173,0.0037627268702965914,0.002837589717910198,0.0013028816676885348,0.0014997794441993825,0.0012465170846165125,0.0010056196391600117,0.0008439237490071485
9,0.008404919349854769,0.0055969381456027,0.003987626629136063,0.0017743450579271475,0.0017487463032017487,0.001671213350045467,0.0014324685857532574,0.0011961722488038277
10,0.015841258530435498,0.012225559456829816,0.007450085714653984,0.003108462762982403,0.0037788892157824194,0.002977754422841128,0.002312536508469965,0.001898318444561219
11,0.007892077883066168,0.005568615360900228,0.0030825680244898827,0.0024757564335400745,0.0017104640151515149,0.0014175422074418512,0.0011892416835382613,0.001043894122406519
12,0.01627384960718294,0.007364144235652615,0.00681541694315417,0.00486730905931601,0.0027495817066369214,0.0024442725686181182,0.0018617613848785702,0.0016838811924474683
13,0.02051733698665884,0.01042322606303649,0.0077545183322237825,0.005320228710626924,0.003338109642838189,0.002859376846775587,0.002306927751717359,0.001933908894136167
14,0.020486990915270998,0.011207275431894249,0.008364241919612445,0.005920700125022326,0.0032899960301707026,0.002781903778857531,0.002415934234116052,0.001988411430216656
15,0.02688646248365218,0.012303067416355843,0.010805921253682448,0.0074854355778349825,0.004420442044204421,0.0036102262517356855,0.002970380201945532,0.0025214494341000366
16,0.027425088877602845,0.013217381288334724,0.011194439363453448,0.007346350832266325,0.004388879592666077,0.0035691790888095734,0.002890901532996586,0.0024248763788512744
17,0.03426835500539435,0.018610460096213147,0.01369365689844911,0.008874738978265346,0.00545635369106279,0.004542443812190459,0.0036143243429385924,0.003056810584111676
18,0.03419346301442371,0.020562770562770567,0.014144333508495359,0.009158963307434924,0.0054440113768039625,0.004653139428513805,0.0037706114110608495,0.003100700777575118
