N,dynamic,static
2,86.23529411764706,88.29411764705883
3,45.35294117647059,52.88235294117647
4,54.76470588235294,68.0
5,62.705882352941174,77.23529411764706
6,73.29411764705883,90.3529411764706
7,87.17647058823529,99.88235294117646
8,103.23529411764706,111.58823529411765
9,118.6470588235294,122.82352941176471
10,121.3529411764706,131.2941176470588
11,133.52941176470588,164.35294117647058
12,168.0,160.23529411764707
13,156.0,163.41176470588235
14,164.47058823529412,160.35294117647058
15,163.88235294117646,173.1764705882353
16,183.7058823529412,172.2941176470588
17,182.23529411764707,184.05882352941177
18,202.52941176470588,193.52941176470588
19,208.88235294117646,201.11764705882354
20,222.52941176470588,215.47058823529412
21,232.0,225.11764705882354
22,245.1764705882353,233.7058823529412
23,253.23529411764707,247.2941176470588
24,263.3529411764706,257.7647058823529
25,274.3529411764706,267.9411764705883
26,288.1764705882353,275.94117647058823
27,308.1764705882353,295.6470588235294
28,328.3529411764706,298.47058823529414
29,333.7647058823529,303.8235294117647
30,352.11764705882354,334.4705882352941
31,362.11764705882354,336.8235294117647
32,375.3529411764706,353.52941176470586
33,388.3529411764706,357.0
34,395.3529411764706,361.94117647058823
35,404.47058823529414,372.8235294117647
36,423.6470588235294,392.5882352941176
37,446.0,408.94117647058823
38,474.2352941176471,424.4117647058824
39,478.4117647058824,432.0
40,505.0,464.4117647058824
41,530.6470588235294,465.3529411764706
42,557.5882352941177,485.11764705882354
43,565.7058823529412,494.7647058823529
44,573.4705882352941,514.3529411764706
45,595.1764705882352,541.8235294117648
46,626.3529411764706,549.8235294117648
47,634.4117647058823,558.3529411764706
48,647.8823529411765,577.0
49,644.4705882352941,596.2941176470589
50,681.4117647058823,616.5294117647059
51,678.2352941176472,614.4117647058823
52,716.6470588235294,633.6470588235294
53,743.7058823529412,642.1176470588235
54,754.5294117647059,665.0588235294117
55,757.5882352941177,685.8823529411765
56,802.4117647058823,702.7058823529412
57,814.3529411764706,705.3529411764706
58,843.0588235294117,747.6470588235294
59,858.7647058823529,748.8235294117648
60,888.5882352941177,789.1764705882352
61,901.5294117647059,810.0
62,933.5882352941177,836.4705882352941
63,936.2941176470588,843.4117647058823
64,966.0,881.6470588235294
65,996.5294117647059,869.9411764705883
66,1038.0588235294117,897.5294117647059
67,1025.5882352941176,909.2941176470588
68,1069.4117647058824,954.3529411764706
69,1095.235294117647,974.1176470588235
70,1110.2941176470588,1021.0
71,1130.3529411764705,1052.2941176470588
72,1180.235294117647,1087.5882352941176
73,1191.6470588235295,1115.8235294117646
74,1222.8235294117646,1157.8235294117646
75,1240.1176470588234,1178.1176470588234
76,1275.4117647058824,1233.1764705882354
77,1303.0588235294117,1264.5882352941176
78,1322.7058823529412,1283.4705882352941
79,1352.0588235294117,1311.7058823529412
80,1391.8823529411766,1345.9411764705883
81,1418.235294117647,1361.2941176470588
82,1455.4117647058824,1385.7058823529412
83,1483.5294117647059,1474.764705882353
84,1499.235294117647,1475.8235294117646
85,1522.6470588235295,1465.235294117647
86,1586.0,1590.3529411764705
87,1596.4705882352941,1586.4117647058824
88,1639.9411764705883,1693.7058823529412
89,1667.1176470588234,1708.4705882352941
90,1714.764705882353,1795.8823529411766
91,1720.235294117647,1786.1764705882354
92,1804.5294117647059,1861.764705882353
93,1810.4117647058824,1886.7058823529412
94,1813.4705882352941,1995.0588235294117
95,1862.6470588235295,1921.0
96,1880.8823529411766,2110.0
97,1911.4705882352941,2134.0000000000005
98,1963.1176470588234,2230.6470588235297
99,2021.7058823529412,2183.235294117647
100,2075.470588235294,2285.705882352941
