N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0014011373938844476,0.001900928100190093,0.0018508437670114318,0.0015786052558269107,0.001333437916699349,0.0013108181047112343,0.0014497697424526693,0.001512186443693293
5,0.002306648575305292,0.003415369161225515,0.0030663780663780665,0.002537692192864607,0.0019044418305046772,0.001848629839060461,0.001992849188207022,0.00204560495758378
6,0.0029251505592199595,0.004226402585563934,0.004373927958833619,0.003221934424158191,0.0024780137019581165,0.0024609148812970464,0.002512934220251293,0.0024286870803371585
7,0.0014342965619067707,0.002354081562002354,0.0024204456467573146,0.0014443500424808837,0.0014545454545454547,0.0015084963840454324,0.0015040920150409202,0.0014178482068390324
8,0.006576402321083173,0.007525453740593183,0.008512769153730594,0.005211526670754139,0.007498897220996913,0.007479102507699075,0.007039337474120082,0.006751389992057188
9,0.008404919349854769,0.0111938762912054,0.01196287988740819,0.00709738023170859,0.008743731516008744,0.010027280100272802,0.010027280100272802,0.009569377990430622
10,0.015841258530435498,0.02445111891365963,0.022350257143961952,0.012433851051929613,0.018894446078912098,0.01786652653704677,0.016187755559289755,0.015186547556489752
11,0.007892077883066168,0.011137230721800456,0.009247704073469648,0.009903025734160298,0.008552320075757574,0.008505253244651107,0.00832469178476783,0.008351152979252152
12,0.01627384960718294,0.01472828847130523,0.020446250829462508,0.01946923623726404,0.013747908533184607,0.01466563541170871,0.013032329694149991,0.013471049539579746
13,0.02051733698665884,0.02084645212607298,0.02326355499667135,0.021280914842507697,0.016690548214190946,0.01715626108065352,0.016148494262021515,0.015471271153089336
14,0.020486990915270998,0.022414550863788497,0.025092725758837333,0.023682800500089304,0.016449980150853513,0.016691422673145186,0.016911539638812364,0.015907291441733248
15,0.02688646248365218,0.024606134832711686,0.032417763761047345,0.02994174231133993,0.022102210221022104,0.021661357510414113,0.020792661413618723,0.020171595472800292
16,0.027425088877602845,0.02643476257666945,0.033583318090360345,0.0293854033290653,0.021944397963330385,0.02141507453285744,0.020236310730976103,0.019399011030810195
17,0.03426835500539435,0.037220920192426295,0.04108097069534733,0.03549895591306138,0.02728176845531395,0.027254662873142755,0.025300270400570146,0.02445448467289341
18,0.03419346301442371,0.041125541125541135,0.04243300052548608,0.036635853229739695,0.02722005688401981,0.02791883657108283,0.026394279877425948,0.024805606220600945
