N,t
2,86.23529411764706
3,45.35294117647059
4,54.76470588235294
5,62.705882352941174
6,73.29411764705883
7,87.17647058823529
8,103.23529411764706
9,118.6470588235294
10,121.3529411764706
11,133.52941176470588
12,168.0
13,156.0
14,164.47058823529412
15,163.88235294117646
16,183.7058823529412
17,182.23529411764707
18,202.52941176470588
19,208.88235294117646
20,222.52941176470588
21,232.0
22,245.1764705882353
23,253.23529411764707
24,263.3529411764706
25,274.3529411764706
26,288.1764705882353
27,308.1764705882353
28,328.3529411764706
29,333.7647058823529
30,352.11764705882354
31,362.11764705882354
32,375.3529411764706
33,388.3529411764706
34,395.3529411764706
35,404.47058823529414
36,423.6470588235294
37,446.0
38,474.2352941176471
39,478.4117647058824
40,505.0
41,530.6470588235294
42,557.5882352941177
43,565.7058823529412
44,573.4705882352941
45,595.1764705882352
46,626.3529411764706
47,634.4117647058823
48,647.8823529411765
49,644.4705882352941
50,681.4117647058823
51,678.2352941176472
52,716.6470588235294
53,743.7058823529412
54,754.5294117647059
55,757.5882352941177
56,802.4117647058823
57,814.3529411764706
58,843.0588235294117
59,858.7647058823529
60,888.5882352941177
61,901.5294117647059
62,933.5882352941177
63,936.2941176470588
64,966.0
65,996.5294117647059
66,1038.0588235294117
67,1025.5882352941176
68,1069.4117647058824
69,1095.235294117647
70,1110.2941176470588
71,1130.3529411764705
72,1180.235294117647
73,1191.6470588235295
74,1222.8235294117646
75,1240.1176470588234
76,1275.4117647058824
77,1303.0588235294117
78,1322.7058823529412
79,1352.0588235294117
80,1391.8823529411766
81,1418.235294117647
82,1455.4117647058824
83,1483.5294117647059
84,1499.235294117647
85,1522.6470588235295
86,1586.0
87,1596.4705882352941
88,1639.9411764705883
89,1667.1176470588234
90,1714.764705882353
91,1720.235294117647
92,1804.5294117647059
93,1810.4117647058824
94,1813.4705882352941
95,1862.6470588235295
96,1880.8823529411766
97,1911.4705882352941
98,1963.1176470588234
99,2021.7058823529412
100,2075.470588235294
