N,t
2,88.29411764705883
3,52.88235294117647
4,68.0
5,77.23529411764706
6,90.3529411764706
7,99.88235294117646
8,111.58823529411765
9,122.82352941176471
10,131.2941176470588
11,164.35294117647058
12,160.23529411764707
13,163.41176470588235
14,160.35294117647058
15,173.1764705882353
16,172.2941176470588
17,184.05882352941177
18,193.52941176470588
19,201.11764705882354
20,215.47058823529412
21,225.11764705882354
22,233.7058823529412
23,247.2941176470588
24,257.7647058823529
25,267.9411764705883
26,275.94117647058823
27,295.6470588235294
28,298.47058823529414
29,303.8235294117647
30,334.4705882352941
31,336.8235294117647
32,353.52941176470586
33,357.0
34,361.94117647058823
35,372.8235294117647
36,392.5882352941176
37,408.94117647058823
38,424.4117647058824
39,432.0
40,464.4117647058824
41,465.3529411764706
42,485.11764705882354
43,494.7647058823529
44,514.3529411764706
45,541.8235294117648
46,549.8235294117648
47,558.3529411764706
48,577.0
49,596.2941176470589
50,616.5294117647059
51,614.4117647058823
52,633.6470588235294
53,642.1176470588235
54,665.0588235294117
55,685.8823529411765
56,702.7058823529412
57,705.3529411764706
58,747.6470588235294
59,748.8235294117648
60,789.1764705882352
61,810.0
62,836.4705882352941
63,843.4117647058823
64,881.6470588235294
65,869.9411764705883
66,897.5294117647059
67,909.2941176470588
68,954.3529411764706
69,974.1176470588235
70,1021.0
71,1052.2941176470588
72,1087.5882352941176
73,1115.8235294117646
74,1157.8235294117646
75,1178.1176470588234
76,1233.1764705882354
77,1264.5882352941176
78,1283.4705882352941
79,1311.7058823529412
80,1345.9411764705883
81,1361.2941176470588
82,1385.7058823529412
83,1474.764705882353
84,1475.8235294117646
85,1465.235294117647
86,1590.3529411764705
87,1586.4117647058824
88,1693.7058823529412
89,1708.4705882352941
90,1795.8823529411766
91,1786.1764705882354
92,1861.764705882353
93,1886.7058823529412
94,1995.0588235294117
95,1921.0
96,2110.0
97,2134.0000000000005
98,2230.6470588235297
99,2183.235294117647
100,2285.705882352941
